Date,Adj Close,Volume,Open,High,Low
6/5/2024,198.48,396031,196.6,198.54,194.76
6/4/2024,196.93,614356,194.38,197.99,194.38
6/3/2024,194.46,796654,194.14,195.73,193.02
5/31/2024,192.68,1495049,191.39,193.15,190
5/30/2024,189.98,653685,189.79,190.67,189
5/29/2024,188.59,674312,189.49,189.57,186.18
5/28/2024,192.25,514357,196.41,196.94,192.13
5/24/2024,195.34,388866,195.05,195.93,194.53
5/23/2024,193.96,495175,197.19,197.19,193.67
5/22/2024,197.6,568166,198.19,200.69,197.37
5/21/2024,198.47,422679,197.61,198.65,197.15
5/20/2024,197.41,648428,199,199.61,197.02
5/17/2024,198.89,442589,198.97,199.54,197.25
5/16/2024,198.05,468582,198.28,199.86,197.38
5/15/2024,198.46,802128,200.37,200.71,197.72
5/14/2024,197.49,490978,198.35,198.9,196.76
5/13/2024,196.99,333738,196.34,198.6,196.34
5/10/2024,196.89,305321,197.84,198,196.46
5/9/2024,197.14,375995,195.51,197.35,194.6
5/8/2024,194.9,436094,195.81,196.66,194.45
5/7/2024,195.89,486380,196.54,196.74,195.14
5/6/2024,195.18,505426,193.66,196.18,192.69
5/3/2024,192.81,573069,194.48,195.44,191.5
5/2/2024,192.45,798368,189.14,193.71,187.93
5/1/2024,187.93,657239,188.66,191.03,187.38
4/30/2024,189.57,809150,189.43,191.33,188.89
4/29/2024,191.02,903468,193.03,193.29,190.31
4/26/2024,191.45,945647,193.8,196.07,191.23
4/25/2024,191.32,1073207,190.29,191.68,188.94
4/24/2024,191.34,904545,187.01,192.5,186.34
4/23/2024,188.66,746334,187.08,189.82,187.08
4/22/2024,186.87,633780,184.59,187.67,183.92
4/19/2024,184.13,543043,183.07,184.56,182.82
4/18/2024,182.02,671424,181.47,182.79,180.17
4/17/2024,180.95,790449,179.73,182.18,178.29
4/16/2024,178.98,901183,179.95,180.21,177.4
4/15/2024,180.72,658476,185.08,185.08,179.77
4/12/2024,183.78,1393618,185.38,185.86,182.73
4/11/2024,185.95,1033572,187.26,187.73,183.85
4/10/2024,186.1,1004484,184.27,186.42,183.35
4/9/2024,188.86,873840,186.85,188.95,186.85
4/8/2024,186.18,635527,182.69,186.71,181.79
4/5/2024,181.08,392267,179.4,181.81,179.21
4/4/2024,180.17,414384,182.05,183.04,179.6
4/3/2024,180.17,531993,179.25,180.65,178.31
4/2/2024,179.85,581039,180.09,180.93,178.8
4/1/2024,181.32,456939,185.33,185.33,181.22
3/28/2024,185.56,730692,184.81,186.72,184.81
3/27/2024,183.69,984631,180.92,183.99,180.44
3/26/2024,180.67,552334,182.43,182.56,180.65
3/25/2024,182.01,481169,184.19,184.19,181.83
3/22/2024,183.17,544585,185.11,185.4,182.69
3/21/2024,184.79,570231,184.52,186.22,183.18
3/20/2024,183.68,751152,180.81,184.14,179.88
3/19/2024,182.16,386792,182.88,183.47,181.35
3/18/2024,182.55,839632,184.05,184.66,182.12
3/15/2024,183.82,1318304,179.95,184.48,179.95
3/14/2024,182.38,648999,185.35,185.35,180.93
3/13/2024,186.24,742281,184.04,186.92,183.96
3/12/2024,183.83,578858,183.95,185.43,182.44
3/11/2024,184.69,507611,186.95,187.32,184.63
3/8/2024,186.95,781868,186.37,187.04,184.35
3/7/2024,185.03,665124,185.1,186.41,183.88
3/6/2024,184.24,778060,184.83,184.84,182.65
3/5/2024,183.74,729913,184.11,185.44,182.82
3/4/2024,185.17,910916,178.67,185.29,178.39
3/1/2024,178.14,832846,176.04,178.49,174.46
2/29/2024,177.03,1445944,177.94,178.89,175.96
2/28/2024,176.37,750482,173.3,177.6,172.85
2/27/2024,174.37,735932,174.81,176,173.76
2/26/2024,173.62,581665,175.57,176.74,173
2/23/2024,175.4,601353,175.99,176.38,175.05
2/22/2024,176.12,818103,178.31,178.4,176.04
2/21/2024,178.27,543654,176.69,178.71,176.28
2/20/2024,176.34,738619,176.32,178.16,175.11
2/16/2024,177.12,627630,175.91,177.87,175.59
2/15/2024,177.8,673489,173.54,177.98,173.54
2/14/2024,173.21,830422,173.03,174.32,172.16
2/13/2024,172.11,825455,171.6,172.28,169.37
2/12/2024,174.36,625706,174.88,175.67,173.43
2/9/2024,174.63,799582,174.16,174.63,173.18
2/8/2024,174.53,818525,173.25,174.78,172.87
2/7/2024,173.42,995481,172.9,173.81,170.95
2/6/2024,172.75,1291410,170,172.97,170
2/5/2024,169.99,874887,172.82,173.41,169.87
2/2/2024,175.06,1446399,176.01,177.19,173.31
2/1/2024,178.15,1716180,172.31,178.68,172
1/31/2024,179.01,1542473,180.08,182.73,177.84
1/30/2024,178.44,709419,177.52,179.59,177.03
1/29/2024,178.28,667435,177.59,179.08,176.72
1/26/2024,177.5,789952,177.03,177.65,175.37
1/25/2024,176.12,1041741,177.78,178.12,175.42
1/24/2024,176.03,908929,181.03,181.03,175.87
1/23/2024,179.59,639449,181.51,182.03,178.09
1/22/2024,181.22,701690,180.96,182.24,179.13
1/19/2024,180.43,1046564,177.5,180.92,177.01
1/18/2024,177.5,986071,177.78,178.96,176.14
1/17/2024,178.38,1353840,177.45,180.56,175.1
1/16/2024,180.15,862734,181.62,182.26,179.33
1/12/2024,182.54,1002650,184.7,185.65,182.29
1/11/2024,182.75,1018770,182.51,184.14,181.79
1/10/2024,183.71,800021,184.09,184.5,182.96
1/9/2024,183.11,787561,182.72,184.24,181.65
1/8/2024,184.54,814818,182.08,185.14,182.08
1/5/2024,182.67,678116,181.64,184.33,181.54
1/4/2024,183.59,661553,182.97,184.57,182.26
