Date,Adj Close,Volume,Open,High,Low
6/5/2024,758.61,380435,$766.99 ,$768.36 ,$758.47 
6/4/2024,764.68,461948,$755.24 ,$769.40 ,$749.18 
6/3/2024,751.46,451659,$766.66 ,$768.92 ,$750.06 
5/31/2024,762.98,1066486,$761.85 ,$768.55 ,$756.73 
5/30/2024,760.63,381568,$771.24 ,$771.54 ,$759.39 
5/29/2024,760.02,357242,$765.46 ,$772.84 ,$759.78 
5/28/2024,768.71,516371,$768.96 ,$775.86 ,$764.63 
5/24/2024,766.12,294572,$770.33 ,$774.60 ,$765.29 
5/23/2024,767.53,491700,$784.66 ,$788.36 ,$767.26 
5/22/2024,781.46,426689,$792.86 ,$797.35 ,$778.63 
5/21/2024,792.24,539515,$791.75 ,$796.74 ,$788.14 
5/20/2024,795.28,463778,$795.25 ,$801.96 ,$791.19 
5/17/2024,799.83,543381,$800.82 ,$806.07 ,$796.62 
5/16/2024,799.5,609057,$812.98 ,$813.30 ,$794.46 
5/15/2024,809.68,987018,$800.32 ,$812.52 ,$796.41 
5/14/2024,789.82,905355,$778.00 ,$796.53 ,$772.99 
5/13/2024,776.89,651992,$760.46 ,$777.69 ,$755.45 
5/10/2024,757.68,975447,$760.55 ,$779.00 ,$752.87 
5/9/2024,772.43,2353632,$778.00 ,$800.00 ,$761.03 
5/8/2024,692.71,876081,$701.36 ,$703.18 ,$684.14 
5/7/2024,711.87,629300,$698.21 ,$715.61 ,$692.81 
5/6/2024,693.73,799123,$708.99 ,$708.99 ,$688.07 
5/3/2024,700.18,762548,$716.41 ,$730.24 ,$697.99 
5/2/2024,698.7,1029563,$703.77 ,$704.92 ,$693.11 
5/1/2024,695.33,943948,$709.05 ,$712.96 ,$694.38 
4/30/2024,711.11,1090619,$720.08 ,$724.27 ,$706.48 
4/29/2024,726.34,1002852,$738.95 ,$738.95 ,$719.18 
4/26/2024,731.61,779483,$735.71 ,$743.94 ,$730.47 
4/25/2024,738.35,812736,$743.60 ,$746.41 ,$735.00 
4/24/2024,756.84,776021,$755.59 ,$768.25 ,$754.54 
4/23/2024,761.9,662877,$761.08 ,$764.34 ,$751.39 
4/22/2024,754.74,687534,$752.40 ,$755.89 ,$745.00 
4/19/2024,748,611912,$743.75 ,$748.37 ,$736.24 
4/18/2024,739.85,483705,$736.11 ,$747.16 ,$731.54 
4/17/2024,734.56,510802,$743.55 ,$746.78 ,$734.25 
4/16/2024,742.14,579921,$745.57 ,$747.60 ,$733.25 
4/15/2024,744.11,574824,$761.15 ,$768.83 ,$740.95 
4/12/2024,764.05,498341,$765.18 ,$770.85 ,$759.34 
4/11/2024,773.82,531969,$779.38 ,$779.98 ,$770.16 
4/10/2024,775.97,758751,$782.66 ,$786.87 ,$772.14 
4/9/2024,801.24,578511,$794.00 ,$801.92 ,$786.13 
