Date,Adj Close,Volume,Open,High,Low
6/5/2024,29.15,21361560,29.3,29.39,29.035
6/4/2024,29.25,32554060,29.125,29.29,29.045
6/3/2024,29.58,19214780,29.44,29.78,29.27
5/31/2024,29.6,19726860,29.75,29.8,29.43
5/30/2024,30.03,14695010,29.85,30.165,29.74
5/29/2024,29.88,19371850,29.89,30.015,29.79
5/28/2024,30.4,18720340,30.76,30.805,30.285
5/24/2024,30.43,19937500,30.73,30.79,30.35
5/23/2024,30.64,14779630,30.92,30.995,30.515
5/22/2024,30.87,23354250,31.05,31.1,30.785
5/21/2024,31.44,16696260,31.67,31.745,31.32
5/20/2024,31.66,15020000,31.54,31.93,31.445
5/17/2024,31.75,13368640,31.66,31.795,31.51
5/16/2024,31.7,15045230,31.82,31.86,31.555
5/15/2024,31.63,32219980,31.48,31.735,31.2
5/14/2024,31.97,14572000,31.78,32.04,31.725
5/13/2024,31.78,13588790,31.87,32.075,31.62
5/10/2024,31.61,10507610,32.01,32.05,31.58
5/9/2024,31.85,33750120,31.56,31.91,31.42
5/8/2024,32.4,9842073,32.03,32.49,32.03
5/7/2024,32.52,14982260,32.58,32.75,32.425
5/6/2024,32.33,13076140,32.25,32.53,32.225
5/3/2024,32.31,19648570,32.45,32.54,32.17
5/2/2024,31.78,18891140,31.7,31.927,31.595
5/1/2024,31.15,23506390,31.1,31.54,30.9001
4/30/2024,31.03,20855430,31.4,31.49,30.99
4/29/2024,31.75,12570140,31.65,31.835,31.59
4/26/2024,31.54,17031700,31.3,31.665,31.2728
4/25/2024,30.81,11300380,30.58,30.875,30.5
4/24/2024,30.99,13461580,31,31.04,30.8142
4/23/2024,31.16,20096250,30.72,31.34,30.605
4/22/2024,31.01,18462970,30.59,31.065,30.47
4/19/2024,30.74,28418030,30.24,30.805,30.235
4/18/2024,30.11,24299380,30.34,30.5,29.81
4/17/2024,30.17,25571850,30.34,30.43,29.86
4/16/2024,30.08,34375760,30.16,30.395,29.9
4/15/2024,30.81,26929720,30.91,31.06,30.53
4/12/2024,31.27,25393020,31.65,31.7,31.15
4/11/2024,31.82,19988270,32,32.02,31.74
4/10/2024,32.08,33911750,32.4,32.515,31.93
4/9/2024,32.99,30370580,32.87,33,32.685
