Date,Adj Close,Volume,Open,High,Low
6/5/2024,33.87,95747,33.49,33.9135,33.443
6/4/2024,33.36,70897,33.36,33.515,33.26
6/3/2024,33.49,75630,33.61,33.7437,33.1722
5/31/2024,33.48,65866,33.42,33.56,32.9401
5/30/2024,33.42,64688,33.49,33.6893,33.3401
5/29/2024,33.59,84816,33.45,33.7,33.45
5/28/2024,34.09,79115,34,34.175,33.8971
5/24/2024,33.97,84313,33.88,34.02,33.74
5/23/2024,33.68,129563,34.35,34.454,33.502
5/22/2024,34.22,77945,34.29,34.42,34.07
5/21/2024,34.35,78634,34.46,34.46,34.2453
5/20/2024,34.68,76814,34.54,34.7,34.52
5/17/2024,34.52,50659,34.56,34.64,34.335
5/16/2024,34.54,83078,34.45,34.6096,34.4448
5/15/2024,34.56,95860,34.43,34.56,34.128
5/14/2024,34.07,350336,33.78,34.1185,33.78
5/13/2024,33.6999,68452,33.6,33.85,33.6
5/10/2024,33.4,39344,33.65,33.6813,33.2966
5/9/2024,33.6199,52870,33.4,33.64,33.345
5/8/2024,33.39,50886,33.41,33.4999,33.26
5/7/2024,33.62,143096,33.6,33.78,33.49
5/6/2024,33.7117,62719,33.58,33.7168,33.51
5/3/2024,33.31,89325,33.42,33.54,33.2423
5/2/2024,32.98,143641,32.75,33.1054,32.35
5/1/2024,32.325,91880,32.19,32.9645,32.19
4/30/2024,32.35,71207,32.91,32.915,32.3
4/29/2024,33.11,124426,33,33.16,32.915
4/26/2024,32.98,83388,32.74,33.0099,32.74
4/25/2024,32.34,117818,31.94,32.357,31.815
4/24/2024,32.51,94877,32.65,32.72,32.26
4/23/2024,32.31,151847,31.95,32.43,31.9243
4/22/2024,31.88,895296,31.5,31.99,31.3018
4/19/2024,31.2,167069,31.65,31.72,31.1388
4/18/2024,31.75,106416,31.79,32.0732,31.5806
4/17/2024,31.67,105401,32.15,32.2,31.64
4/16/2024,31.94,92154,32,32.09,31.7803
4/15/2024,32.16,121473,33.01,33.01,32.061
4/12/2024,32.85,122192,33.44,33.44,32.76
4/11/2024,33.705,105588,33.5,33.74,33.29
4/10/2024,33.42,190919,33.47,33.562,33.2281
4/9/2024,33.98,118326,33.92,34.0486,33.688
4/8/2024,33.83,120566,33.71,33.9222,33.71
4/5/2024,33.69,68940,33.58,33.86,33.49
4/4/2024,33.55,105728,34.18,34.39,33.51
4/3/2024,33.97,77583,33.72,34.0192,33.6113
4/2/2024,33.85,160464,33.98,34,33.55
4/1/2024,34.36,158701,34.5,34.62,34.2
3/28/2024,34.35,138634,34.56,34.6294,34.33
3/27/2024,34.43,134896,34.34,34.46,34.02
3/26/2024,34.25,109899,34.55,34.61,34.25
3/25/2024,34.45,115836,34.49,34.56,34.2799
3/22/2024,34.46,129363,34.64,34.64,34.3505
3/21/2024,34.57,90953,34.84,34.92,34.53
3/20/2024,34.59,107262,33.98,34.65,33.914
3/19/2024,33.97,134549,33.9,34,33.5
3/18/2024,34.19,105725,34.54,34.54,34.11
3/15/2024,34.11,107242,34.22,34.22,33.9305
3/14/2024,34.27,127576,34.8,34.8,33.97
3/13/2024,34.78,144739,35,35,34.743
3/12/2024,35,91875,34.7,35,34.4545
3/11/2024,34.57,151733,34.5,34.7472,34.3866
3/8/2024,34.53,170922,34.87,35.129,34.4
3/7/2024,34.67,154270,34.5,34.7125,34.3539
3/6/2024,34.19,175390,34,34.38,33.916
3/5/2024,33.65,192020,34.22,34.22,33.54
3/4/2024,34.41,137173,34.56,34.56,34.31
3/1/2024,34.48,119359,34.21,34.53,34
2/29/2024,34.02,113818,34.01,34.0945,33.76
2/28/2024,33.69,128749,33.89,33.89,33.6101
2/27/2024,34.18,147072,34.23,34.2883,34.04
2/26/2024,33.97,233571,33.83,34.05,33.72
2/23/2024,33.72,129878,33.77,33.9499,33.6
2/22/2024,33.79,121369,33.71,33.8741,33.5548
2/21/2024,33.17,174073,33.07,33.2,32.9031
2/20/2024,33.41,177970,33.65,33.6657,33.0701
2/16/2024,33.75,213715,34.12,34.12,33.6037
2/15/2024,34.08,103734,33.97,34.1099,33.82
2/14/2024,33.79,337132,33.38,33.8,33.31
2/13/2024,32.9,202437,33.16,33.2766,32.71
2/12/2024,34.07,148431,33.88,34.39,33.8025
2/9/2024,33.8,113653,33.52,33.8672,33.5
2/8/2024,33.4,165103,32.95,33.4678,32.95
2/7/2024,32.94,145991,32.85,32.98,32.6615
2/6/2024,32.93,93555,32.82,32.96,32.6901
2/5/2024,32.72,131998,32.84,32.8452,32.45
2/2/2024,32.96,97111,32.79,33.0587,32.6661
2/1/2024,32.8,143416,32.64,32.83,32.45
1/31/2024,32.53,121354,32.83,33.19,32.463
1/30/2024,33.01,136641,33.37,33.37,32.97
1/29/2024,33.37,116720,33.05,33.39,32.89
1/26/2024,33.07,119226,33.19,33.3299,33.06
1/25/2024,33.27,161539,33.46,33.51,33.09
1/24/2024,33.29,152454,33.69,33.7296,33.24
1/23/2024,33.34,102600,33.22,33.3999,33.15
1/22/2024,33.15,356156,33.02,33.2964,32.88
1/19/2024,32.86,148352,32.58,32.86,32.3101
1/18/2024,32.51,126788,32.45,32.5537,32.2
1/17/2024,32.18,171837,32.26,32.26,31.87
1/16/2024,32.7,105220,32.92,32.92,32.5098
1/12/2024,33.19,66579,33.4,33.64,33.1245
1/11/2024,33.36,170267,33.47,33.56,32.91
1/10/2024,33.28,89264,33.24,33.4,33.0301
1/9/2024,33.16,151077,33.1,33.3163,33.01
1/8/2024,33.46,136229,32.84,33.49,32.8226
1/5/2024,32.81,62107,32.72,33.17,32.72
1/4/2024,32.84,168109,32.68,33,32.61
1/3/2024,32.88,130965,33.3,33.3,32.85
1/2/2024,33.65,137851,34.2,34.2,33.53
12/29/2023,34.5,105826,34.95,34.95,34.4418
12/28/2023,34.85,163142,34.77,34.9598,34.71
12/27/2023,34.67,116603,34.8,34.8,34.55
12/26/2023,34.63,94477,34.24,34.67,34.24
12/22/2023,34.21,109444,34.35,34.35,34.0501
12/21/2023,34.33,99784,34.12,34.33,33.9625
12/20/2023,33.63,172842,34.41,34.41,33.5801
12/19/2023,34.57,103909,34.32,34.57,34.3
12/18/2023,34.11,98383,34.24,34.24,33.8595
12/15/2023,34.24,134174,34.5,34.53,34.1601
12/14/2023,34.48,187943,34.17,34.6,34.1296
12/13/2023,34.05,145222,33.49,34.05,33.17
12/12/2023,33.44,212753,33.43,33.44,33.12
12/11/2023,33.34,146173,33.22,33.35,33.12
12/8/2023,33.16,78028,32.81,33.299,32.8
12/7/2023,33,91222,32.85,33,32.7
12/6/2023,32.85,139718,33.2,33.35,32.8201
12/5/2023,32.83,102824,32.77,32.8929,32.6045
12/4/2023,33.02,76367,33,33.055,32.74
12/1/2023,33.26,83033,32.62,33.26,32.56
11/30/2023,32.75,70024,32.85,32.87,32.5
11/29/2023,32.69,115995,32.7,32.98,32.62
11/28/2023,32.43,85045,32.47,32.5,32.21
11/27/2023,32.38,138017,32.45,32.5186,32.3055
11/24/2023,32.6,39054,32.44,32.64,32.414
11/22/2023,32.44,62150,32.39,32.625,32.39
11/21/2023,32.35,111813,32.51,32.6,32.27
11/20/2023,32.85,219446,32.36,32.9008,32.359
11/17/2023,32.29,179099,32,32.29,31.9668
11/16/2023,31.79,93865,31.88,31.88,31.6
11/15/2023,32.19,118692,32.13,32.4999,32.04
11/14/2023,32.03,235795,31.42,32.06,31.42
11/13/2023,30.885,115826,30.86,31.01,30.655
11/10/2023,30.87,94916,30.43,30.9,30.3469
11/9/2023,30.37,80523,30.86,30.94,30.34
11/8/2023,30.74,102524,30.86,30.93,30.6307
11/7/2023,30.85,91281,30.52,30.96,30.49
11/6/2023,30.49,47198,30.7,30.75,30.2905
11/3/2023,30.58,136264,30.05,30.641,30.05
11/2/2023,29.6,180261,29.36,29.6299,29.36
11/1/2023,28.855,86002,28.77,28.87,28.5001
10/31/2023,28.75,59664,28.67,28.81,28.41
10/30/2023,28.75,66082,28.71,28.8499,28.54
10/27/2023,28.37,141638,28.62,28.63,28.2624
10/26/2023,28.42,203041,28.52,28.73,28.23
10/25/2023,28.77,96152,29.38,29.38,28.77
10/24/2023,29.69,60237,29.27,29.752,29.27
10/23/2023,29.11,87048,29.09,29.4723,28.84
10/20/2023,29.29,66813,29.59,29.59,29.2252
10/19/2023,29.73,108169,29.9,30.1917,29.69
10/18/2023,29.83,110043,30.4,30.4,29.79
10/17/2023,30.71,70841,30.33,30.83,30.26
10/16/2023,30.58,99936,30.35,30.62,30.2
10/13/2023,30.24,47504,30.68,30.68,30.09
10/12/2023,30.63,99921,31.11,31.12,30.4401
10/11/2023,30.98,127332,31.07,31.14,30.7585
10/10/2023,30.96,84632,30.63,31.1569,30.63
10/9/2023,30.44,59143,30.29,30.53,30.12
10/6/2023,30.58,168788,29.73,30.6799,29.73
10/5/2023,29.97,164037,30.09,30.09,29.6763
10/4/2023,30.04,66385,29.86,30.08,29.72
10/3/2023,29.82,83302,30.11,30.27,29.6801
10/2/2023,30.46,160244,30.52,30.64,30.2901
