Date,Adj Close,Volume,Open,High,Low
6/5/2024,137.39,192944,136.745,137.49,135.935
6/4/2024,136.77,216476,136.41,136.91,135.63
6/3/2024,136.57,348645,136.63,137.39,135.44
5/31/2024,136.02,358762,133.84,136.16,133.75
5/30/2024,133.79,241094,133,134.1652,132.75
5/29/2024,132.64,220533,133.53,134.1515,132.553
5/28/2024,134.28,239635,135.58,135.735,134.04
5/24/2024,135.55,228698,134.7,135.55,134.38
5/23/2024,134.16,352261,136.85,136.87,134.08
5/22/2024,136.65,231920,136.53,136.89,135.9265
5/21/2024,136.49,219127,136.48,136.81,136.1034
5/20/2024,136.38,325479,135.75,136.63,135.6
5/17/2024,135.5,259197,134.66,135.5,134.61
5/16/2024,134.94,324684,134.38,135.54,134.33
5/15/2024,134.36,288692,135.12,135.13,134.14
5/14/2024,134.66,423004,134.73,134.9397,134.31
5/13/2024,134.31,591637,135.59,135.9,134.26
5/10/2024,135.1,758344,135.81,135.81,134.89
5/9/2024,135.36,356675,134.33,135.4,134.13
5/8/2024,134.09,237810,133.41,134.31,133.022
5/7/2024,133.44,467481,133.4,133.51,132.8
5/6/2024,133.61,504903,133.29,133.97,132.84
5/3/2024,132.57,367870,133.03,133.03,131.68
5/2/2024,132.06,327060,131.45,132.1,130.675
5/1/2024,130.11,270965,129.62,131.38,129.57
4/30/2024,129.85,403997,130.86,131.57,129.81
4/29/2024,131.13,328571,129.76,131.13,129.76
4/26/2024,129.53,281689,129.22,129.945,128.84
4/25/2024,129.01,694032,127.77,129.2205,126.86
4/24/2024,128.51,541577,130.5,130.59,127.86
4/23/2024,129.37,821087,129.03,130.21,128.79
4/22/2024,128.5,555119,128.74,129.43,128.13
4/19/2024,128,378630,127.71,128.725,127.71
4/18/2024,127.46,486757,127.74,128.81,127.3
4/17/2024,127.51,497629,128.41,128.44,126.65
4/16/2024,127.66,781590,127.54,128.3,127.04
4/15/2024,127.05,493953,129.39,129.48,126.86
4/12/2024,127.72,400077,129.45,129.7961,127.33
4/11/2024,129.16,699249,129.24,129.7654,127.89
4/10/2024,129.22,827913,128,129.3,127.774
4/9/2024,129.68,533224,130.9,131.18,128.97
4/8/2024,131.07,950472,131.45,131.88,130.98
4/5/2024,131.35,323112,130.47,131.38,130.1968
4/4/2024,130.17,367362,130.97,131.14,129.75
4/3/2024,129.66,290797,130.01,130.37,129.38
4/2/2024,130.23,685785,130.57,130.7,130.04
4/1/2024,130.89,238196,132,132.2,130.64
3/28/2024,131.93,238371,132.18,132.27,131.765
3/27/2024,131.85,423970,130.96,131.85,130.3937
3/26/2024,129.98,356214,130.33,130.56,129.95
3/25/2024,130.22,253754,131.09,131.36,130.1401
3/22/2024,130.1,275321,130.07,130.61,129.84
3/21/2024,129.59,259216,130.11,130.44,129.55
3/20/2024,129.68,338102,128.04,129.95,127.88
3/19/2024,128.24,324185,127.38,128.27,127.36
3/18/2024,127.08,419526,127.14,127.6,126.52
3/15/2024,127.21,498864,126.27,127.64,126.18
3/14/2024,126.77,350484,127.19,127.905,126.12
3/13/2024,126.95,298093,126.73,127.43,126.49
3/12/2024,126.95,802143,127.93,127.93,126.09
3/11/2024,127.93,476411,128.97,128.97,127.4
3/8/2024,129.18,352068,130.02,130.39,128.68
3/7/2024,129.87,274345,130,130.23,129.46
3/6/2024,129.53,371758,128.82,129.98,128.82
3/5/2024,128.75,385123,128.68,129.92,128.29
3/4/2024,128.88,601935,127.91,129.13,127.91
3/1/2024,127.89,537368,128.15,128.15,127.15
2/29/2024,127.88,314085,128.49,128.49,127.19
2/28/2024,128.13,463492,126.33,128.65,126.33
2/27/2024,126.38,351911,126.63,126.63,125.69
2/26/2024,126.23,270704,126.7,126.99,126.22
2/23/2024,126.42,306386,126.02,126.7595,125.805
2/22/2024,125.98,382762,125.61,126.26,125.25
2/21/2024,125.52,326583,125.34,125.855,124.985
2/20/2024,125.43,372318,125.46,126.28,125.135
2/16/2024,125.64,326031,126.1,126.51,125.561
2/15/2024,126.24,339702,125.67,126.45,125.49
2/14/2024,125.32,752935,124.75,125.429,124.47
2/13/2024,124.1,872652,124.06,124.48,123.11
2/12/2024,124.89,322439,124.66,125.52,124.6104
2/9/2024,124.66,314546,124.79,124.97,124.2256
2/8/2024,124.45,447238,125.21,125.34,124.0795
2/7/2024,125.03,601356,124.51,125.54,124.24
2/6/2024,124.11,353683,123.03,124.31,122.7
2/5/2024,123.18,370889,122.34,123.53,121.88
2/2/2024,123.63,239931,123.28,124.11,122.74
2/1/2024,123.7,426760,123.51,123.74,122.01
1/31/2024,122.65,495940,122.77,123.9491,122.53
1/30/2024,122.09,1176650,122.43,122.43,121.66
1/29/2024,122.26,337258,122.35,122.52,121.65
1/26/2024,122.04,444268,121.77,122.87,121.53
1/25/2024,121.67,693271,122.64,122.64,120.56
1/24/2024,122.77,618520,123.18,123.8,122.5208
1/23/2024,122.43,588514,123.17,124.3699,122.1996
1/22/2024,122.17,754428,121.92,122.5899,121.73
1/19/2024,121.71,449886,121.44,121.94,120.6091
1/18/2024,121.21,572476,120.1,121.36,119.395
1/17/2024,119.32,412583,119.04,120.505,118.905
1/16/2024,119.3,980970,121.3,121.5,118.88
1/12/2024,122.34,458331,121.77,122.4436,121.68
1/11/2024,121.47,711668,122.24,122.32,120.76
1/10/2024,122.26,425514,121.9,122.76,121.9
1/9/2024,121.47,473503,121.74,121.74,120.78
1/8/2024,122.43,779763,121.26,122.72,120.6
1/5/2024,123.84,390818,123.7,124.1774,123.21
