Date,Adj Close,Volume,Open,High,Low
6/5/2024,168.4,776656,167.245,168.4,166.57
6/4/2024,166.29,973065,165.67,166.52,165.17
6/3/2024,165.89,1064881,166.61,166.61,164.4
5/31/2024,165.74,896049,165.16,165.83,163.09
5/30/2024,164.69,618553,165.365,165.54,164.27
5/29/2024,165.6,976395,165.2,166.06,165.2
5/28/2024,166.93,753734,167.36,167.36,166.01
5/24/2024,166.52,630482,165.99,166.8,165.68
5/23/2024,165.34,762475,167.14,167.26,164.875
5/22/2024,165.74,754471,166.18,166.2201,165.08
5/21/2024,166.25,777098,165.88,166.31,165.76
5/20/2024,166.1,490582,165.52,166.45,165.52
5/17/2024,165.54,914194,165.66,165.72,164.89
5/16/2024,165.57,1035022,166.25,166.6199,165.525
5/15/2024,166.21,1216630,164.36,166.31,164.3
5/14/2024,163.56,940530,162.87,163.72,162.67
5/13/2024,162.84,869366,163.43,163.43,162.52
5/10/2024,162.94,946580,162.94,163.41,162.53
5/9/2024,162.39,738313,161.95,162.44,161.61
5/8/2024,161.86,852555,161.45,162.19,161.37
5/7/2024,161.86,1449613,161.72,162.34,161.51
5/6/2024,161.34,1093253,160,161.34,159.75
5/3/2024,159.19,1411118,159.11,159.44,158.19
5/2/2024,157.37,1854575,157.37,157.64,155.8
5/1/2024,156.19,1627036,156.65,158.69,156.09
4/30/2024,156.96,1171438,158.73,159.23,156.92
4/29/2024,158.97,895027,159.19,159.35,158.08
4/26/2024,159.05,716646,158.2,159.49,157.9
4/25/2024,157.08,1011964,155.54,157.48,155.13
4/24/2024,157.56,1211982,158.34,158.58,156.97
4/23/2024,157.67,1015127,156.69,157.96,156.39
4/22/2024,155.88,1467902,155.44,156.85,154.58
4/19/2024,154.56,2146601,156.57,156.91,154.17
4/18/2024,156.87,1849417,157.75,158.423,156.6324
4/17/2024,157.21,1170550,159.18,159.3,156.8501
4/16/2024,158.32,1218694,158.24,159.17,157.88
4/15/2024,158.17,1304090,161.59,161.7,157.88
4/12/2024,160.15,1303604,161.33,161.55,159.68
4/11/2024,162.31,1156138,161.56,162.67,160.48
4/10/2024,160.88,1455111,160.84,161.535,160.38
4/9/2024,162.46,1379344,162.83,163.035,160.61
4/8/2024,162.435,834219,162.71,162.94,162.11
4/5/2024,162.54,880932,161.21,163.07,160.91
4/4/2024,160.6,1262603,164.18,164.4,160.55
4/3/2024,162.9,1172359,162.59,163.51,162.42
4/2/2024,162.85,1215035,162.305,162.855,161.82
4/1/2024,163.87,1193617,164.5,164.69,163.42
3/28/2024,164.35,1573281,164.065,164.58,163.9
3/27/2024,164.16,1132831,164.17,164.2275,162.98
3/26/2024,163.31,1365376,164.58,164.58,163.24
3/25/2024,163.94,1108063,164.03,164.38,163.79
3/22/2024,164.58,920229,165,165.119,164.36
3/21/2024,165.44,1790855,165.65,166.2351,165.21
3/20/2024,164.94,1451084,163.62,164.95,163.2401
3/19/2024,163.34,1508900,161.93,163.45,161.49
3/18/2024,162.39,1331057,162.79,163.38,162.27
3/15/2024,161.48,3647216,162.28,162.31,161.14
3/14/2024,163.01,17780690,163.93,164.14,162.0761
3/13/2024,163.27,857273,163.46,163.73,162.81
3/12/2024,163.51,834801,162.08,163.64,161.34
3/11/2024,161.16,840412,161.29,161.43,160.115
3/8/2024,161.61,1007394,164.04,164.285,161.425
3/7/2024,163.56,934408,162.64,163.85,162.5
3/6/2024,161.67,894563,161.92,162.379,161.14
3/5/2024,160.5,1681106,161.78,161.88,159.69
3/4/2024,162.26,1473222,162.46,163,162.205
3/1/2024,162.38,878141,160.82,162.38,160.56
2/29/2024,160.28,1299170,160.59,160.625,159.398
2/28/2024,159.745,812171,159.46,159.945,159.22
2/27/2024,160.1,1142250,160.13,160.34,159.55
2/26/2024,160.11,992613,160.56,160.7,160.03
2/23/2024,160.26,814060,160.82,161.1801,159.89
2/22/2024,160.06,1275970,158.52,160.3201,158.4
2/21/2024,156.04,1505192,155.13,156.06,154.7838
2/20/2024,155.79,948777,156.24,156.448,155.02
2/16/2024,156.96,912310,158.61,158.61,156.95
2/15/2024,158.16,1883157,157.71,158.39,157.4
2/14/2024,157.25,1076760,156.6,157.39,155.9
2/13/2024,155.67,1166779,155.26,156.4199,154.71
2/12/2024,157.63,916805,157.84,158.465,157.286
2/9/2024,157.64,1018873,157,157.85,156.7601
2/8/2024,156.66,1232731,156.545,156.86,156.38
2/7/2024,156.29,1295179,155.18,156.49,155.18
2/6/2024,154.48,1181036,154.74,155,153.715
2/5/2024,154.21,1646192,154.43,154.645,153.38
2/2/2024,154.3,1876796,152.94,154.86,152.68
2/1/2024,152.3,1645145,150.89,152.3,150.81
1/31/2024,150.5,1592037,151.91,152.39,150.465
1/30/2024,152.73,1571516,152.64,152.93,152.43
1/29/2024,152.73,2663038,151.41,152.81,151.41
1/26/2024,151.35,3662373,151.36,151.86,151.07
1/25/2024,151.71,18640230,151.73,152.1566,150.905
1/24/2024,151.27,1262696,152.02,152.459,151.13
1/23/2024,151,1184565,151.18,151.18,150.45
1/22/2024,151.34,1338678,151.39,151.63,151.04
1/19/2024,150.81,1213388,149.44,150.89,149
1/18/2024,148.65,1928789,147.8,148.82,147.3601
1/17/2024,147.15,1230347,146.97,147.2399,146.41
1/16/2024,147.74,1311821,147.985,148.41,147.23
1/12/2024,148.38,719992,148.36,148.75,147.86
1/11/2024,148.02,1142771,148,148.31,146.515
1/10/2024,147.66,1512066,147.02,147.94,146.88
1/9/2024,146.78,877510,146.22,147.13,145.965
1/8/2024,146.89,1165927,144.79,146.91,144.79
1/5/2024,144.745,1067584,144.71,145.44,144.26
1/4/2024,144.615,1251472,145.05,145.82,144.55
1/3/2024,145.13,944366,145.48,145.72,144.93
1/2/2024,146.07,1070023,146.12,146.36,145.42
12/29/2023,147.14,997597,147.61,147.7594,146.63
12/28/2023,147.5,1089351,147.62,147.83,147.44
12/27/2023,147.64,1057393,147.5,147.7,147.14
12/26/2023,147.36,778680,146.83,147.68,146.82
12/22/2023,146.7,993035,146.75,147.22,146.15
12/21/2023,146.91,1062080,146.56,147,145.81
12/20/2023,145.62,1358246,147.35,147.997,145.57
12/19/2023,147.99,3666038,147.41,148.02,147.3701
12/18/2023,147.32,1034632,146.87,147.55,146.78
12/15/2023,146.3,1461655,146.09,146.71,145.94
12/14/2023,146.43,1660159,146.88,146.92,145.68
12/13/2023,146.53,1079576,144.84,146.7,144.8201
12/12/2023,144.86,3530952,143.83,144.87,143.65
12/11/2023,143.74,1890204,142.77,143.79,142.69
12/8/2023,142.51,949517,141.35,142.72,141.35
12/7/2023,141.78,727589,141.17,141.89,141
12/6/2023,140.71,1626550,141.89,141.89,140.585
12/5/2023,141.12,1313543,140.73,141.37,140.53
12/4/2023,141.19,986037,140.95,141.2995,140.45
12/1/2023,141.91,1170968,140.87,142.07,140.64
11/30/2023,141.07,1462909,140.98,141.07,139.935
11/29/2023,140.58,1055023,141.24,141.55,140.46
11/28/2023,140.65,843305,140.4,141.1796,140.2701
11/27/2023,140.75,1003974,140.64,141.235,140.64
11/24/2023,141.17,328704,141.155,141.3,141
11/22/2023,141.17,1110448,141.09,141.69,140.72
11/21/2023,140.76,1172636,140.48,140.89,140.31
11/20/2023,141.02,2028907,139.39,141.26,139.39
11/17/2023,139.88,906889,139.83,140.11,139.4
11/16/2023,139.8,1522316,139.58,139.87,139.07
11/15/2023,139.88,1882307,140.27,140.547,139.63
11/14/2023,140.01,1721630,139.33,140.38,139.26
11/13/2023,137.57,1405000,137.37,137.92,137.01
11/10/2023,137.8,1166639,136.33,137.855,135.88
11/9/2023,135.6,1165872,136.99,137,135.45
11/8/2023,136.48,1562156,136.21,136.705,135.73
11/7/2023,136.06,1478112,135.42,136.3102,135.16
11/6/2023,135.46,1157421,135.14,135.51,134.89
11/3/2023,134.99,1488184,134.88,135.54,134.62
11/2/2023,133.84,2483866,132.28,133.94,132.28
11/1/2023,131.18,1704952,129.9,131.4,129.9
10/31/2023,129.84,9310843,129.22,129.995,128.635
10/30/2023,129.26,1459086,128.32,129.58,128.23
10/27/2023,127.66,1972379,128.64,128.79,127.15
10/26/2023,128.12,1592234,129.44,129.73,127.86
10/25/2023,130.27,1478915,131.75,131.75,130.07
10/24/2023,132.36,1643149,132.22,132.75,131.44
10/23/2023,131.4,1528427,130.95,132.67,130.49
10/20/2023,131.47,1722575,132.85,133.21,131.43
10/19/2023,132.93,4343852,134.7,134.8,132.72
10/18/2023,134.29,980443,135.35,135.7199,133.97
10/17/2023,136.03,1049772,135.15,136.555,134.92
10/16/2023,136.25,1410356,135.25,136.57,135.25
10/13/2023,134.76,1353028,135.82,136.24,134.29
10/12/2023,135.5,1369365,136.19,136.46,134.64
10/11/2023,135.91,1500223,135.39,135.99,134.93
10/10/2023,134.95,1928718,134.8,135.96,134.48
10/9/2023,134.42,1109791,132.8,134.58,132.73
10/6/2023,133.39,1498578,131.07,133.795,130.66
10/5/2023,131.53,1421006,131.33,131.81,130.64
10/4/2023,131.47,1082217,130.49,131.64,130.26
10/3/2023,130.45,1114137,131.35,132.0101,130.02
10/2/2023,132.11,1149423,131.79,132.42,131.14
9/29/2023,131.79,1756275,133.21,133.3,131.4
9/28/2023,132.02,1281530,131.2,132.56,130.87
9/27/2023,131.08,1259606,131.44,131.655,130.04
9/26/2023,130.77,5987998,131.79,131.84,130.56
9/25/2023,133.03,1410536,132.18,133.06,132.1
9/22/2023,132.59,1016903,132.96,133.65,132.48
9/21/2023,132.41,919037,134,134,132.38
9/20/2023,134.97,792535,136.57,136.8305,134.92
9/19/2023,136.28,779472,136.3,136.424,135.4006
9/18/2023,136.45,829419,135.84,136.84,135.78
9/15/2023,136.07,1002897,137.54,137.76,135.94
9/14/2023,138.17,1288509,137.92,138.3209,137.32
9/13/2023,137.28,1293122,136.95,137.66,136.83
9/12/2023,137.04,1549618,137.51,137.72,136.86
9/11/2023,137.89,1154960,138.13,138.34,137.32
9/8/2023,137.43,654145,137.495,138.06,137.18
9/7/2023,137.44,478104,136.78,137.67,136.76
9/6/2023,137.97,783732,138.67,138.72,137.21
9/5/2023,138.89,967999,139.47,139.6,138.82
9/1/2023,139.68,629852,140.02,140.38,139.23
8/31/2023,139.36,815166,139.46,140.11,139.32
8/30/2023,139.33,795600,139.07,139.63,138.77
8/29/2023,138.92,1324432,136.75,138.95,136.68
8/28/2023,136.86,806092,136.59,137.04,136.17
8/25/2023,135.96,1036429,135.61,136.54,134.41
8/24/2023,135.15,1269024,137.89,138.08,135.14
8/23/2023,136.995,1258777,135.94,137.14,135.68
8/22/2023,135.56,3756034,136.65,136.65,135.39
8/21/2023,136.16,1475120,135.23,136.405,134.8096
8/18/2023,134.86,837281,133.85,135.25,133.671
8/17/2023,134.72,1886930,136.16,136.31,134.57
8/16/2023,135.61,982207,136.25,137.0607,135.61
8/15/2023,136.43,945080,137.1,137.42,136.22
8/14/2023,137.65,830644,136.07,137.65,135.84
8/11/2023,136.18,806547,136.14,136.75,135.79
8/10/2023,136.72,832551,137.32,138.59,136.19
8/9/2023,136.88,720053,137.84,137.84,136.57
8/8/2023,137.74,875844,137.68,137.81,136.8
8/7/2023,138.29,802690,137.18,138.29,137.18
8/4/2023,136.76,908986,137.74,138.52,136.51
8/3/2023,137.53,1061883,137.25,138.01,136.96
8/2/2023,137.79,1103478,138.83,138.92,137.57
8/1/2023,139.97,1067425,139.53,140.11,139.414
7/31/2023,139.97,951855,140.11,140.24,139.48
7/28/2023,139.93,896964,139.45,140.11,139.24
7/27/2023,138.72,834588,140.57,140.7978,138.33
7/26/2023,139.34,1297413,139.07,139.83,138.68
7/25/2023,139.39,1071120,138.51,139.71,138.51
7/24/2023,138.53,1466876,138.26,138.74,138.04
7/21/2023,137.92,2723881,138.63,138.67,137.92
7/20/2023,137.8,14983950,138.19,138.86,137.63
7/19/2023,138.81,1013440,138.99,139.19,138.55
7/18/2023,138.78,829257,137.88,138.98,137.82
7/17/2023,138.02,727607,137.25,138.2921,137.04
7/14/2023,137.25,786915,137.48,137.945,137.0201
7/13/2023,137.18,1861954,136.77,137.42,136.54
7/12/2023,135.89,1094268,135.62,136.22,135.45
7/11/2023,134.65,968360,133.94,134.78,133.6201
7/10/2023,133.75,1057606,132.96,133.75,132.9
7/7/2023,132.89,993414,133.17,134.21,132.87
7/6/2023,133.51,921540,133.3,133.64,132.74
7/5/2023,134.57,851465,134.25,134.9599,134.155
7/3/2023,134.69,480503,134.47,134.77,134.39
6/30/2023,134.87,1021962,134.34,135.1095,134.27
6/29/2023,133.4,803430,132.89,133.54,132.6864
6/28/2023,132.81,1108962,132.7,133.31,132.37
6/27/2023,133.12,1070069,131.82,133.36,131.65
6/26/2023,131.34,735376,131.89,132.44,131.325
6/23/2023,132.05,884388,131.95,132.48,131.68
6/22/2023,132.89,1003123,132.07,132.9,132
6/21/2023,132.53,863968,132.77,133.02,132.13
6/20/2023,132.91,1248740,132.86,133.26,132.3
6/16/2023,133.5,676324,134.42,134.66,133.42
6/15/2023,133.82,1326939,131.92,134.2,131.83
6/14/2023,132.26,870185,131.54,132.51,131.01
6/13/2023,131.64,834081,131.42,131.83,131
6/12/2023,130.82,1011694,129.8,130.85,129.448
6/9/2023,129.33,1338748,129.47,130.07,129.1101
6/8/2023,129.15,941563,128.3,129.3,128.3
6/7/2023,128.6,1025037,129.42,129.87,128.5
6/6/2023,129.75,1090031,129.46,129.88,129.185
6/5/2023,129.45,1587814,129.94,130.3,129.34
6/2/2023,130.08,1513431,129.27,130.33,128.99
6/1/2023,128.23,1194971,127.43,128.55,126.88
5/31/2023,127.1,1441667,127.51,127.786,126.6635
5/30/2023,128.3,988782,129.19,129.19,127.88
5/26/2023,128.28,880671,126.79,128.54,126.63
5/25/2023,126.53,1027170,126.485,127.04,125.69
5/24/2023,124.46,930450,124.87,124.92,123.96
5/23/2023,125.35,939172,126.22,126.45,125.15
5/22/2023,126.88,840589,126.53,127.34,126.5
5/19/2023,126.72,1132184,127.21,127.3674,126.28
5/18/2023,127.03,869230,125.56,127.2,125.53
5/17/2023,125.7,1554356,124.57,125.92,124.27
5/16/2023,124.14,598226,124.61,124.8552,124.12
5/15/2023,125.17,988666,124.9,125.24,124.2892
5/12/2023,124.625,921021,124.86,125.015,123.86
5/11/2023,124.52,1219093,124.41,124.64,123.92
5/10/2023,124.65,782759,124.94,125.1599,123.41
5/9/2023,124.05,1668711,124.08,124.39,123.91
5/8/2023,124.55,687649,124.575,124.69,124.09
5/5/2023,124.54,973789,123.44,124.885,123.44
5/4/2023,122.48,1470918,123.36,123.45,122.22
5/3/2023,123.89,1169495,124.72,125.7,123.82
5/2/2023,124.7,935359,126.21,126.34,123.753
5/1/2023,126.44,827418,125.99,126.88,125.99
4/28/2023,126.19,972170,124.64,126.19,124.64
4/27/2023,124.86,864816,123.11,124.97,123.11
4/26/2023,121.98,1230110,123.06,123.12,121.8
4/25/2023,122.91,746744,124.49,124.64,122.86
4/24/2023,125.05,743915,124.62,125.1199,124.29
4/21/2023,124.86,917906,125.23,125.23,124.4
4/20/2023,125.05,1353322,124.2,125.66,124.2
4/19/2023,125.06,1193377,124.81,125.32,124.59
4/18/2023,125.37,1193325,125.8,125.82,124.96
4/17/2023,125.17,1223786,124.71,125.175,124.33
4/14/2023,125,1281002,124.9,125.85,124.22
4/13/2023,125.15,2224679,124.12,125.3168,123.7
4/12/2023,123.7,3721824,124.97,125.09,123.55
4/11/2023,124.33,1754351,124.35,124.79,124.03
4/10/2023,124.1,1295820,123.02,124.1,122.84
4/6/2023,123.66,894808,123.17,123.73,122.51
4/5/2023,123.37,911896,123.35,123.6,122.67
4/4/2023,123.5,1041490,124.92,124.92,123.17
4/3/2023,124.63,1155864,123.95,124.67,123.64
3/31/2023,124.065,1363343,122.51,124.16,122.51
3/30/2023,122.25,1530195,122.25,122.41,121.67
3/29/2023,121.53,2106191,121.14,121.64,120.79
3/28/2023,119.91,1522149,120.19,120.2,119.365
3/27/2023,120.24,1428346,120.75,121.08,120.02
3/24/2023,120.28,2440881,119.46,120.41,118.51
3/23/2023,119.77,2169570,120.04,121.37,118.87
3/22/2023,119.33,2788896,120.96,122.535,119.33
3/21/2023,121.34,2873392,121.22,121.52,120.29
3/20/2023,120.01,11609180,119.54,120.19,118.98
3/17/2023,118.98,43206790,119.85,120.19,118.52
3/16/2023,119.84,1830109,117.43,119.92,116.93
3/15/2023,117.77,1630092,116.82,117.83,116.04
3/14/2023,118.34,1308948,117.56,118.809,116.86
3/13/2023,116.27,1633783,115.44,117.78,115.03
3/10/2023,116.31,1178148,118.07,118.64,115.89
3/9/2023,118.26,649676,120.3,121.13,118
3/8/2023,120.24,1216493,120.03,120.485,119.55
3/7/2023,119.83,701358,121.74,121.81,119.705
3/6/2023,121.53,2735760,121.68,122.4,121.3965
3/3/2023,121.41,483972,120.15,121.48,119.79
3/2/2023,119.545,583723,117.68,119.81,117.6639
3/1/2023,118.4,681076,118.61,118.95,117.97
2/28/2023,118.75,556134,118.73,119.74,118.69
2/27/2023,118.9,538252,119.56,120.135,118.67
2/24/2023,118.71,320659,118.52,119.03,117.95
2/23/2023,120.11,471756,120.28,120.44,118.75
2/22/2023,118.95,473387,119.44,119.85,118.57
2/21/2023,119.22,652204,120.33,120.88,119.16
2/17/2023,121.84,426742,121.61,121.92,120.91
2/16/2023,122.33,559522,122.31,123.7,122.31
2/15/2023,124.04,599479,123,124.04,122.75
2/14/2023,123.98,536319,123.52,124.74,122.75
