Date,Adj Close,Volume,Open,High,Low
6/5/2024,242.73,3749406,236.7,242.89,235.86
6/4/2024,232.56,2246862,234,234.36,230.79
6/3/2024,234.39,1815875,237.8,237.9476,230.2
5/31/2024,234.01,2991016,236.78,237.355,227.5
5/30/2024,235.93,1541145,237.65,238.33,234.69
5/29/2024,237.58,2061105,238.13,239.18,237.2615
5/28/2024,242.59,2824235,241.35,243.63,238.8469
5/24/2024,238.56,2450116,236.04,239.35,235
5/23/2024,233.92,4704798,240.83,240.92,232.16
5/22/2024,235.24,3488522,234.67,235.85,232.805
5/21/2024,232.51,2178896,230.18,232.8943,230.07
5/20/2024,233.26,2555314,229.27,234.72,228.845
5/17/2024,228.24,1806075,231,231.4,226.42
5/16/2024,229.54,2878408,230.62,232.44,229.46
5/15/2024,230.67,3106213,226.75,230.82,225.5
5/14/2024,224.37,2149424,220.53,224.56,220.32
5/13/2024,220.7,1843208,221.2,222.08,220.33
5/10/2024,220.24,3079201,220.49,222.42,219.27
5/9/2024,218.1,1874296,218.93,219.34,217.06
5/8/2024,218.92,3212177,216.6,219.13,216.37
5/7/2024,218.71,2859521,220.98,221.57,218.71
5/6/2024,220.66,2441528,218.01,220.68,217.16
5/3/2024,216.17,3467130,215.85,217.41,214.48
5/2/2024,211.41,3955489,210.3,212.16,206.52
5/1/2024,206.76,7023235,210.01,213.84,205.59
4/30/2024,213.99,3583507,217.6,220,213.93
4/29/2024,218.55,3247287,216.52,218.76,214.97
4/26/2024,216.9,3812628,212.15,217.82,211.66
4/25/2024,212.41,3902877,208.04,213.83,206.93
4/24/2024,208.54,4077580,211.38,212.5,206.74
4/23/2024,205.87,3645360,203.05,206.86,202.5
4/22/2024,201.66,4493791,200.44,203.11,198.02
4/19/2024,198.39,6406611,204.8,206.12,197.43
4/18/2024,206.63,5372719,208.86,210.23,205.97
4/17/2024,210.36,4798630,217.1,217.44,209.9
4/16/2024,216.94,2452334,215.4,218,214.51
4/15/2024,215.31,3170838,221.05,221.86,214.24
4/12/2024,218.07,3210362,221.49,221.76,217.64
4/11/2024,225.47,2455324,221.88,225.87,220.06
4/10/2024,220.49,3610492,220.84,223.425,219.225
4/9/2024,224.59,3173009,224.44,225.3,220.755
4/8/2024,222.2,1866884,222.94,224.11,221.31
4/5/2024,221.63,2428251,220,223,218.5825
4/4/2024,219.03,3743961,228.51,229.17,218.56
4/3/2024,225.41,1860588,222.17,226.9868,222.14
4/2/2024,224.78,2383542,224.54,225.26,222.4
4/1/2024,228.3,3000859,226.06,231.45,226.06
3/28/2024,225.92,1794250,225.42,227,224.91
3/27/2024,225.68,4161724,225.39,225.76,221.4
3/26/2024,222.88,4414209,226.19,226.88,222.83
3/25/2024,224.57,2283509,222.25,226.61,221.71
3/22/2024,225.45,2658907,224.16,227.1,223.45
3/21/2024,225.18,4059795,227.37,229.28,224.76
3/20/2024,220.45,3386568,217.28,221.03,215.53
3/19/2024,216.76,3558697,215.745,217.69,212.654
3/18/2024,218.59,3143257,222.5,223.34,218.37
3/15/2024,218.76,4105300,217.4,221.37,217.1
3/14/2024,220.34,4662092,223.57,224.84,218.12
3/13/2024,224.17,3264589,227.05,227.37,222.81
3/12/2024,229.77,3598410,227.98,229.89,223.99
3/11/2024,225.1,4499778,225.5,226.79,222.52
3/8/2024,228.13,10483030,238.55,240.01,227.97
3/7/2024,237.75,4799639,232.79,238.705,232.6505
3/6/2024,229.8666,5531680,229.0266,232.2833,227.3133
3/5/2024,224.3533,7260073,226.0733,227.6433,221.8933
3/4/2024,228.84,7328461,229.1266,231.3433,227.5766
3/1/2024,226.6133,6122887,219.8766,227.59,219.6266
2/29/2024,217.3633,3382896,214.2533,217.8,213.5816
2/28/2024,211.63,2923704,211.6666,212.76,210.6366
2/27/2024,214.0366,4560882,215.2833,215.8333,213.4833
2/26/2024,214.25,3758934,214.2966,215.2066,212.76
2/23/2024,212.1566,5105161,215.55,216.66,211.0266
2/22/2024,214.47,6676381,212.4433,215.6266,211.5033
2/21/2024,204.3966,4487538,202.55,204.4466,201.48
2/20/2024,204.8666,5547592,206.42,207.16,201.71
2/16/2024,208.3733,4103559,211.1333,212.75,207.755
2/15/2024,209.56,2845440,211.1233,211.38,208.63
2/14/2024,209.76,3236382,207.7566,209.8666,206.8533
2/13/2024,205.1266,6551347,203.3566,207.3466,202.3666
2/12/2024,209.43,4300008,209.8333,213.305,208.5866
2/9/2024,209.81,3519435,206.9666,210.1433,205.75
2/8/2024,205.7133,2760786,202.8733,207.2,202.7966
2/7/2024,202.2366,4839426,200.6,202.428,198.5133
2/6/2024,199.19,3623901,202.11,202.2666,196.9533
2/5/2024,201.54,4735152,200.52,202.5433,198.31
2/2/2024,198.8233,4801092,196.31,199.2833,195.7766
2/1/2024,196.3166,3464106,196.14,196.8033,193.745
1/31/2024,195.35,6574168,195.14,198.9233,193.6066
1/30/2024,198.22,3059127,200.1266,201.3533,197.3933
1/29/2024,201.33,3467538,199.65,201.33,198.19
1/26/2024,199.2566,5781337,200.5866,201.95,198.567
1/25/2024,204.7766,3916932,209.1266,209.2633,203.7433
1/24/2024,205.3466,6283888,204.7366,208.0766,203.1333
1/23/2024,202.4,3282057,201.14,202.6416,199.23
1/22/2024,201.0666,5288419,202.07,203.6933,199.2233
1/19/2024,200.41,5326828,195.2966,200.67,194.3033
1/18/2024,192.8666,3552084,191.8866,193.12,189.81
1/17/2024,186.7033,4970886,186.5066,186.9233,183.5366
1/16/2024,188.43,4151376,186.0266,189.7033,185.07
1/12/2024,185.7966,2277042,186.87,187.7766,184.8966
1/11/2024,186.62,3692079,186.1966,187.8333,182.9733
1/10/2024,185.9333,2821653,186.9833,187.0233,183.5833
1/9/2024,186.56,2944254,184.3933,187.9933,184.1166
1/8/2024,186.4966,3202203,181.8566,186.9833,181.8066
1/5/2024,180.6133,3889335,179.9533,182.2,179.385
1/4/2024,179.6166,3737211,178.28,181.4433,177.88
1/3/2024,181.14,4069890,181.8433,182.8733,180.4216
1/2/2024,185.1166,3256689,188.7833,188.7833,183.5433
12/29/2023,192.0333,1452366,193.4933,193.88,191
12/28/2023,193.4533,1052982,194.2666,194.6366,193.2
12/27/2023,193.8166,1877340,194.2033,194.5333,192.7466
12/26/2023,193.32,1906452,190.8316,194.0866,190.8316
12/22/2023,189.9633,2363532,190.26,191.1,188.61
12/21/2023,189.3566,2589246,188.24,189.7033,187.3633
12/20/2023,184.2566,3355902,188.4666,189.5633,184.2566
12/19/2023,190.26,1910733,189.52,190.6437,189.28
12/18/2023,189.25,2272071,189.7733,190.0866,187.5266
12/15/2023,189.7766,3956073,189.6266,191.91,189.3666
12/14/2023,189.0733,3372276,185.46,189.6066,185.46
12/13/2023,183.9733,5724922,181.21,185.0233,180.5366
12/12/2023,181.1833,2226591,178.98,181.21,178.6633
12/11/2023,179.8866,3976989,175.5833,180.4466,175.3966
12/8/2023,173.9533,4207278,172.1833,174.7133,172.11
12/7/2023,172.59,1916604,169.6666,173.1233,168.99
12/6/2023,168.0833,2683473,171.5833,171.68,167.8866
12/5/2023,169.1266,2568435,168.4633,169.5766,167.7233
12/4/2023,170.0933,1810533,170.2666,170.4383,167.64
12/1/2023,172.02,1719615,170.33,172.34,169
11/30/2023,171.2166,2419380,172.69,172.8633,169.8366
11/29/2023,172.42,3665757,172.985,175.01,172.13
11/28/2023,170.57,1852329,170.59,171.4733,169.2
11/27/2023,171.5733,1816905,171.1766,173.03,170.75
11/24/2023,171.8133,516483,171.68,172.0066,171.075
11/22/2023,171.69,2044392,172.2866,174.4033,171.21
11/21/2023,171.1433,3018495,172.9733,172.9733,170.2633
11/20/2023,174.4033,1486227,171.6833,175,171.6266
11/17/2023,171.87,1815708,170.14,172.2033,169.86
11/16/2023,170.67,2275581,169.87,171.1766,169.2966
