Date,Adj Close,Volume,Open,High,Low
6/5/2024,153.45,1480636,$152.88 ,$153.51 ,$151.85 
6/4/2024,152.47,1208131,$151.12 ,$153.01 ,$151.12 
6/3/2024,151.6,1770861,$151.35 ,$152.24 ,$149.96 
5/31/2024,151.31,2376244,$149.43 ,$151.49 ,$148.79 
5/30/2024,148.44,1088248,$148.10 ,$148.87 ,$147.51 
5/29/2024,147.1,1131032,$146.06 ,$147.37 ,$145.58 
5/28/2024,147.18,1187475,$148.90 ,$149.42 ,$146.84 
5/24/2024,147.88,1410906,$146.68 ,$148.26 ,$146.01 
5/23/2024,144.66,1091150,$146.28 ,$146.48 ,$144.56 
5/22/2024,146.19,734421,$147.49 ,$148.21 ,$145.63 
5/21/2024,147.97,1101884,$146.20 ,$148.14 ,$145.97 
5/20/2024,146.37,851716,$148.76 ,$148.97 ,$146.11 
5/17/2024,148.79,1258426,$149.65 ,$149.65 ,$148.10 
5/16/2024,148.66,1802273,$150.25 ,$151.48 ,$148.37 
5/15/2024,150.25,1005570,$151.99 ,$152.24 ,$149.95 
5/14/2024,149.54,1087813,$147.55 ,$149.72 ,$147.33 
5/13/2024,146.97,1381761,$148.15 ,$148.72 ,$146.00 
5/10/2024,147.72,1305360,$149.71 ,$150.00 ,$147.60 
5/9/2024,149.13,1364782,$148.54 ,$150.28 ,$147.91 
5/8/2024,147.88,1490789,$146.91 ,$149.04 ,$146.73 
5/7/2024,147.95,2682557,$146.76 ,$151.48 ,$144.74 
5/6/2024,144.44,1598753,$144.28 ,$145.45 ,$143.50 
5/3/2024,142.93,1257436,$143.00 ,$144.47 ,$141.89 
5/2/2024,141.36,1829441,$141.55 ,$141.99 ,$139.31 
5/1/2024,140.18,1356014,$140.34 ,$142.82 ,$139.25 
4/30/2024,140.53,1835508,$143.33 ,$144.51 ,$140.23 
4/29/2024,144.83,1110951,$143.84 ,$144.84 ,$142.70 
4/26/2024,142.36,1026159,$143.05 ,$144.46 ,$142.31 
4/25/2024,142.73,1741248,$141.24 ,$143.72 ,$140.59 
4/24/2024,142.81,1110180,$143.10 ,$143.73 ,$141.62 
4/23/2024,143.78,877456,$142.51 ,$144.47 ,$142.51 
4/22/2024,142.41,984477,$141.00 ,$143.48 ,$140.14 
4/19/2024,140.44,1116221,$141.34 ,$141.50 ,$139.83 
4/18/2024,140.37,1046114,$141.66 ,$142.06 ,$140.00 
4/17/2024,140.94,1019770,$140.96 ,$142.19 ,$140.13 
