Date,Adj Close,Volume,Open,High,Low
6/5/2024,34.73,728646,$35.05 ,$35.14 ,$34.68 
6/4/2024,35,909976,$34.51 ,$35.30 ,$34.50 
6/3/2024,34.74,1071723,$35.15 ,$35.21 ,$34.54 
5/31/2024,35.06,1223305,$34.72 ,$35.11 ,$34.53 
5/30/2024,34.64,772212,$34.47 ,$34.68 ,$34.47 
5/29/2024,34.26,951569,$34.39 ,$34.42 ,$34.13 
5/28/2024,34.71,716908,$35.29 ,$35.42 ,$34.70 
5/24/2024,35.11,688751,$35.34 ,$35.36 ,$35.03 
5/23/2024,35.13,878337,$35.99 ,$35.99 ,$35.08 
5/22/2024,35.96,755724,$35.82 ,$36.08 ,$35.77 
5/21/2024,35.96,588539,$36.20 ,$36.31 ,$35.92 
5/20/2024,36.19,547036,$36.30 ,$36.59 ,$36.16 
5/17/2024,36.38,591462,$36.50 ,$36.59 ,$36.17 
5/16/2024,36.41,1311691,$36.29 ,$36.59 ,$36.09 
5/15/2024,36.29,1115187,$36.26 ,$36.61 ,$36.03 
5/14/2024,35.57,838405,$35.68 ,$35.82 ,$35.23 
5/13/2024,35.35,698401,$35.54 ,$35.74 ,$35.29 
5/10/2024,35.42,733369,$35.63 ,$35.76 ,$35.20 
5/9/2024,35.63,972636,$35.08 ,$35.68 ,$34.97 
5/8/2024,34.98,1078707,$35.28 ,$35.35 ,$34.87 
5/7/2024,35.45,1575531,$35.01 ,$35.60 ,$34.96 
5/6/2024,34.79,964691,$35.48 ,$35.51 ,$34.69 
5/3/2024,35.22,760523,$35.58 ,$35.99 ,$35.09 
5/2/2024,34.97,1870439,$35.15 ,$35.29 ,$34.68 
5/1/2024,34.81,1675846,$34.40 ,$35.32 ,$34.09 
4/30/2024,34.39,1287221,$34.28 ,$34.67 ,$34.22 
4/29/2024,34.65,1045664,$34.67 ,$34.83 ,$34.60 
4/26/2024,34.48,1268933,$34.64 ,$34.79 ,$34.35 
4/25/2024,34.54,1729050,$34.37 ,$34.63 ,$34.13 
4/24/2024,34.75,1563415,$35.23 ,$35.33 ,$34.70 
4/23/2024,35.41,986068,$35.34 ,$35.73 ,$35.25 
4/22/2024,35.34,703877,$35.01 ,$35.37 ,$34.70 
4/19/2024,34.93,1478068,$34.49 ,$35.05 ,$34.46 
4/18/2024,34.38,1251139,$34.90 ,$35.05 ,$34.11 
4/17/2024,34.83,1768847,$35.52 ,$35.52 ,$34.37 
4/16/2024,35.62,1159233,$36.03 ,$36.08 ,$35.62 
4/15/2024,36.2,813580,$37.35 ,$37.35 ,$36.08 
4/12/2024,37.09,567188,$37.30 ,$37.37 ,$36.89 
4/11/2024,37.39,716392,$37.50 ,$37.56 ,$36.96 
4/10/2024,37.18,951613,$37.24 ,$37.30 ,$36.87 
4/9/2024,38.32,1077706,$38.35 ,$38.39 ,$37.99 
4/8/2024,38.18,650269,$37.67 ,$38.21 ,$37.59 
4/5/2024,37.51,654058,$37.11 ,$37.53 ,$37.02 
4/4/2024,37.2,573111,$37.61 ,$37.85 ,$37.08 
4/3/2024,37.32,898442,$37.13 ,$37.53 ,$37.06 
4/2/2024,37.24,795078,$37.33 ,$37.33 ,$36.85 
4/1/2024,37.64,870528,$38.51 ,$38.51 ,$37.50 
3/28/2024,38.44,936861,$38.23 ,$38.59 ,$38.18 
3/27/2024,38.09,865360,$37.82 ,$38.21 ,$37.65 
3/26/2024,37.57,1483736,$37.90 ,$38.00 ,$37.55 
3/25/2024,37.84,984538,$38.28 ,$38.35 ,$37.83 
3/22/2024,38.22,1220959,$38.34 ,$38.45 ,$37.97 
3/21/2024,38.28,809756,$37.95 ,$38.30 ,$37.82 
3/20/2024,37.77,1170900,$36.95 ,$37.79 ,$36.78 
3/19/2024,37.01,818733,$37.13 ,$37.28 ,$36.84 
3/18/2024,37.11,894349,$37.19 ,$37.60 ,$37.09 
3/15/2024,37.21,2048738,$36.95 ,$37.41 ,$36.87 
3/14/2024,37.32,1055793,$38.00 ,$38.00 ,$36.91 
3/13/2024,38.05,1601811,$38.03 ,$38.34 ,$37.88 
3/12/2024,37.96,1079370,$38.03 ,$38.13 ,$37.68 
3/11/2024,38.14,1591866,$37.77 ,$38.14 ,$37.46 
3/8/2024,37.81,1260463,$37.38 ,$37.85 ,$37.34 
3/7/2024,37,961112,$37.60 ,$37.70 ,$36.88 
3/6/2024,37.35,1335062,$37.31 ,$37.49 ,$37.05 
3/5/2024,37.12,836976,$37.30 ,$37.60 ,$36.92 
3/4/2024,37.39,1039936,$37.44 ,$37.58 ,$36.75 
3/1/2024,37.52,1213253,$37.03 ,$37.64 ,$36.67 
2/29/2024,37.14,1441565,$37.51 ,$37.58 ,$37.06 
2/28/2024,37.12,1214677,$36.90 ,$37.45 ,$36.86 
2/27/2024,37.19,1806458,$38.14 ,$38.19 ,$37.13 
2/26/2024,37.86,830783,$38.19 ,$38.26 ,$37.76 
2/23/2024,38.31,812620,$38.74 ,$38.77 ,$38.30 
2/22/2024,38.73,827692,$38.60 ,$38.74 ,$38.21 
2/21/2024,38.42,1093748,$38.72 ,$38.88 ,$38.32 
2/20/2024,38.7,1492884,$38.75 ,$39.27 ,$38.55 
2/16/2024,39.1,2126363,$38.88 ,$39.25 ,$38.66 
2/15/2024,39.12,1947541,$38.51 ,$39.12 ,$38.51 
2/14/2024,38.24,2626235,$36.88 ,$38.46 ,$36.88 
2/13/2024,37.45,1975596,$36.50 ,$37.50 ,$36.20 
2/12/2024,37.5,1021121,$37.55 ,$37.93 ,$37.46 
2/9/2024,37.53,1182554,$37.57 ,$37.79 ,$37.30 
2/8/2024,37.51,1070096,$36.92 ,$37.79 ,$36.92 
2/7/2024,36.92,769059,$37.51 ,$37.51 ,$36.87 
2/6/2024,37.52,1019394,$36.93 ,$37.60 ,$36.83 
2/5/2024,36.93,966961,$37.10 ,$37.24 ,$36.65 
2/2/2024,37.61,1115528,$37.23 ,$37.79 ,$36.73 
2/1/2024,37.73,1071245,$36.87 ,$37.74 ,$36.62 
1/31/2024,36.94,1300550,$37.69 ,$37.76 ,$36.74 
1/30/2024,37.5,626709,$37.86 ,$37.93 ,$37.48 
1/29/2024,38.17,830933,$38.07 ,$38.27 ,$37.94 
1/26/2024,37.98,810140,$38.03 ,$38.11 ,$37.61 
1/25/2024,37.8,717246,$37.84 ,$38.16 ,$37.61 
1/24/2024,37.51,832645,$38.58 ,$38.58 ,$37.41 
1/23/2024,38.17,901784,$38.85 ,$38.86 ,$38.08 
1/22/2024,38.64,1432432,$38.19 ,$38.80 ,$38.18 
1/19/2024,38.02,1201986,$37.25 ,$38.18 ,$37.06 
1/18/2024,37.13,1131115,$37.55 ,$37.64 ,$36.80 
1/17/2024,37.47,872469,$37.56 ,$38.05 ,$37.11 
1/16/2024,38.17,1247367,$38.24 ,$38.49 ,$37.88 
1/12/2024,38.57,1057815,$38.69 ,$38.81 ,$38.07 
1/11/2024,38.33,1020590,$38.50 ,$38.59 ,$38.09 
1/10/2024,38.73,807265,$38.62 ,$38.89 ,$38.54 
1/9/2024,38.58,1893371,$38.62 ,$38.82 ,$38.41 
1/8/2024,38.99,655160,$38.58 ,$39.11 ,$38.51 
1/5/2024,38.51,1334719,$38.25 ,$38.73 ,$38.05 
1/4/2024,38.6,1170338,$38.76 ,$38.98 ,$38.37 
1/3/2024,38.88,1606824,$39.27 ,$39.39 ,$38.80 
1/2/2024,39.59,1159647,$39.15 ,$39.61 ,$39.01 
12/29/2023,39.26,1511372,$39.32 ,$39.61 ,$39.16 
12/28/2023,39.58,914412,$39.09 ,$39.58 ,$39.09 
12/27/2023,39.34,761388,$39.24 ,$39.34 ,$39.06 
12/26/2023,39.09,572890,$38.85 ,$39.24 ,$38.83 
12/22/2023,38.85,1144178,$38.81 ,$39.18 ,$38.64 
12/21/2023,38.74,1281470,$38.74 ,$38.84 ,$38.28 
12/20/2023,38.29,1365896,$38.85 ,$39.11 ,$38.27 
12/19/2023,38.82,1451544,$38.76 ,$39.02 ,$38.59 
12/18/2023,38.56,1230744,$38.73 ,$38.87 ,$38.49 
12/15/2023,38.66,3168457,$39.00 ,$39.12 ,$38.39 
12/14/2023,39.04,3382759,$39.00 ,$39.15 ,$38.49 
12/13/2023,38.28,1580098,$36.72 ,$38.50 ,$36.69 
12/12/2023,36.71,775327,$36.30 ,$36.86 ,$36.12 
12/11/2023,36.34,797347,$36.21 ,$36.53 ,$36.14 
12/8/2023,36.22,1204241,$36.10 ,$36.23 ,$35.79 
12/7/2023,36.21,723327,$36.05 ,$36.41 ,$35.82 
12/6/2023,36.12,1281260,$36.35 ,$36.41 ,$35.98 
12/5/2023,36.09,1202055,$36.61 ,$36.71 ,$35.92 
12/4/2023,36.84,1548983,$36.27 ,$36.87 ,$36.12 
12/1/2023,36.4,1711254,$35.79 ,$36.49 ,$35.69 
11/30/2023,35.85,1812090,$35.75 ,$36.02 ,$35.39 
11/29/2023,35.83,1495828,$36.03 ,$36.19 ,$35.81 
11/28/2023,35.86,2190893,$35.90 ,$36.36 ,$35.71 
11/27/2023,36.19,965883,$35.82 ,$36.40 ,$35.80 
11/24/2023,35.95,394906,$35.74 ,$35.97 ,$35.57 
11/22/2023,35.82,634475,$36.05 ,$36.10 ,$35.73 
11/21/2023,35.63,1172735,$35.95 ,$35.97 ,$35.50 
11/20/2023,36.09,1052250,$35.68 ,$36.09 ,$35.40 
11/17/2023,35.76,1046063,$35.59 ,$35.77 ,$35.36 
11/16/2023,35.24,631734,$35.70 ,$35.79 ,$35.20 
11/15/2023,35.62,1056037,$35.56 ,$35.91 ,$35.49 
11/14/2023,35.69,1204094,$35.31 ,$36.10 ,$35.04 
11/13/2023,34.12,667105,$34.30 ,$34.39 ,$33.99 
11/10/2023,34.58,451166,$34.49 ,$34.62 ,$34.22 
11/9/2023,34.33,651492,$34.78 ,$34.78 ,$34.09 
11/8/2023,34.69,581735,$34.42 ,$34.76 ,$34.33 
11/7/2023,34.27,947307,$34.47 ,$34.47 ,$34.16 
11/6/2023,34.4,1111999,$35.26 ,$35.31 ,$34.21 
11/3/2023,35.36,2763447,$35.70 ,$36.23 ,$35.31 
11/2/2023,35.19,1289334,$34.58 ,$35.22 ,$34.40 
11/1/2023,34.04,1171745,$33.31 ,$34.04 ,$33.22 
10/31/2023,33.22,2055612,$32.95 ,$33.31 ,$32.78 
10/30/2023,32.65,1466110,$32.31 ,$32.75 ,$31.95 
10/27/2023,32.24,1590389,$32.67 ,$32.85 ,$32.04 
10/26/2023,32.12,1046904,$31.80 ,$32.31 ,$31.79 
10/25/2023,31.71,1213925,$32.41 ,$32.62 ,$31.69 
10/24/2023,32.62,1159652,$32.25 ,$32.66 ,$32.20 
10/23/2023,32.17,2145007,$32.33 ,$32.54 ,$32.10 
10/20/2023,32.58,1730287,$32.90 ,$33.36 ,$32.54 
10/19/2023,32.92,1316686,$33.33 ,$33.55 ,$32.83 
10/18/2023,33.58,1124839,$34.23 ,$34.32 ,$33.55 
10/17/2023,34.57,1873884,$34.64 ,$35.47 ,$34.32 
10/16/2023,34.9,919548,$34.66 ,$34.98 ,$34.30 
10/13/2023,34.39,877079,$34.64 ,$34.65 ,$34.20 
10/12/2023,34.4,826542,$35.20 ,$35.20 ,$34.34 
10/11/2023,35.33,869058,$35.19 ,$35.53 ,$34.87 
10/10/2023,34.9,1049223,$34.55 ,$35.18 ,$34.43 
10/9/2023,34.56,733165,$34.00 ,$34.63 ,$34.00 
10/6/2023,34.25,663707,$33.74 ,$34.45 ,$33.62 
10/5/2023,34.11,717953,$33.77 ,$34.18 ,$33.65 
10/4/2023,33.81,678696,$33.50 ,$33.82 ,$33.17 
10/3/2023,33.36,738667,$33.69 ,$33.84 ,$32.98 
10/2/2023,33.91,734428,$34.40 ,$34.63 ,$33.67 
9/29/2023,34.51,1286525,$34.96 ,$35.16 ,$34.19 
9/28/2023,34.52,1311937,$34.02 ,$34.59 ,$33.96 
9/27/2023,34.02,907145,$34.15 ,$34.42 ,$33.77 
9/26/2023,34.08,1013843,$34.44 ,$34.61 ,$34.02 
9/25/2023,34.74,783393,$34.52 ,$34.92 ,$34.40 
9/22/2023,34.73,1437970,$34.86 ,$35.39 ,$34.67 
9/21/2023,34.83,1042754,$36.00 ,$36.00 ,$34.76 
9/20/2023,36.2,690177,$36.59 ,$36.91 ,$36.19 
9/19/2023,36.28,710882,$36.46 ,$36.66 ,$36.09 
9/18/2023,36.4,662305,$36.60 ,$36.68 ,$36.11 
9/15/2023,36.66,2170814,$36.64 ,$36.67 ,$36.36 
9/14/2023,36.8,758816,$36.34 ,$36.89 ,$36.22 
9/13/2023,36.05,730240,$36.30 ,$36.47 ,$36.03 
9/12/2023,36.38,1254671,$36.47 ,$36.67 ,$36.31 
9/11/2023,36.67,771917,$36.65 ,$36.82 ,$36.46 
9/8/2023,36.58,786758,$37.05 ,$37.22 ,$36.42 
9/7/2023,36.99,1395956,$36.35 ,$37.12 ,$36.26 
9/6/2023,36.4,926761,$36.24 ,$36.42 ,$35.95 
9/5/2023,36.23,1674003,$36.67 ,$36.77 ,$36.18 
9/1/2023,36.88,1459048,$36.75 ,$36.97 ,$36.60 
8/31/2023,36.53,759200,$36.74 ,$36.85 ,$36.45 
8/30/2023,36.78,782474,$36.80 ,$37.01 ,$36.65 
8/29/2023,36.9,788989,$36.64 ,$36.93 ,$36.54 
8/28/2023,36.7,987682,$36.51 ,$37.11 ,$36.51 
8/25/2023,36.38,1257279,$36.25 ,$36.57 ,$36.14 
8/24/2023,36.02,803818,$36.35 ,$36.79 ,$35.93 
8/23/2023,36.3,1059479,$35.37 ,$36.44 ,$35.37 
8/22/2023,35.42,1086343,$35.00 ,$35.52 ,$34.88 
8/21/2023,34.96,962660,$34.98 ,$35.13 ,$34.56 
8/18/2023,35.09,1414146,$34.60 ,$35.14 ,$34.56 
8/17/2023,34.79,669699,$35.21 ,$35.52 ,$34.77 
8/16/2023,35.25,964542,$35.61 ,$35.78 ,$35.25 
8/15/2023,35.61,662210,$35.61 ,$35.86 ,$35.52 
8/14/2023,35.87,752801,$35.75 ,$35.89 ,$35.60 
8/11/2023,35.77,1731334,$35.39 ,$35.86 ,$35.31 
8/10/2023,35.57,1067652,$36.01 ,$36.24 ,$35.50 
8/9/2023,35.8,1257253,$35.90 ,$36.17 ,$35.73 
8/8/2023,36.07,719481,$36.45 ,$36.45 ,$35.90 
8/7/2023,36.52,526631,$35.99 ,$36.59 ,$35.80 
8/4/2023,35.93,987199,$35.50 ,$36.33 ,$35.41 
8/3/2023,35.61,1368137,$35.61 ,$35.71 ,$35.17 
8/2/2023,35.9,991074,$35.73 ,$35.98 ,$35.52 
8/1/2023,36,777528,$36.08 ,$36.16 ,$35.88 
7/31/2023,36.3,1156057,$36.35 ,$36.70 ,$36.15 
7/28/2023,36.33,1303973,$37.47 ,$37.50 ,$36.17 
7/27/2023,37.14,1138359,$38.83 ,$38.83 ,$37.12 
7/26/2023,38.44,1092331,$38.41 ,$38.73 ,$38.25 
7/25/2023,38.29,963270,$38.33 ,$38.59 ,$38.17 
7/24/2023,38.41,805564,$38.08 ,$38.48 ,$38.02 
7/21/2023,38.07,875546,$37.93 ,$38.24 ,$37.75 
7/20/2023,37.82,1192787,$37.67 ,$37.83 ,$37.04 
7/19/2023,37.45,1096996,$37.66 ,$37.80 ,$37.11 
7/18/2023,37.31,1725884,$38.09 ,$38.14 ,$36.85 
7/17/2023,37.97,1439462,$37.84 ,$38.04 ,$37.67 
7/14/2023,37.81,1724521,$37.75 ,$37.83 ,$37.36 
7/13/2023,37.79,1691092,$37.46 ,$37.85 ,$37.22 
7/12/2023,37.47,1542708,$37.26 ,$37.79 ,$37.02 
7/11/2023,36.9,1662627,$36.49 ,$36.97 ,$36.20 
