Date,Adj Close,Volume,Open,High,Low
6/5/2024,551.45,491891,542.99,551.895,541.8252
6/4/2024,537.75,311749,537,538.705,533.79
6/3/2024,537.42,386446,539.97,540,530.21
5/31/2024,534.61,545960,537.06,537.06,522.65
5/30/2024,535.08,547447,543.32,543.8577,532.87
5/29/2024,548,312665,545.13,549.81,544.2
5/28/2024,549.92,372924,549.68,551.8195,546.4501
5/24/2024,545.23,286789,541.18,545.91,539.68
5/23/2024,539.98,519178,549.09,549.255,537.69
5/22/2024,539.94,475140,540.84,542.19,536.57
5/21/2024,539.81,272467,536.94,540.3683,535.7385
5/20/2024,539.3,371887,533.78,540.3078,533.44
5/17/2024,532.55,312314,535.39,535.61,529.61
5/16/2024,533.85,363202,536.97,538.26,533.85
5/15/2024,536.12,356176,527.79,536.3092,527.4214
5/14/2024,524.12,227810,518.56,524.55,518.56
5/13/2024,518.78,274858,520.02,520.7892,517.236
5/10/2024,516.26,228690,517.53,520.17,514.92
5/9/2024,514.91,387101,515.14,515.53,511.99
5/8/2024,515.42,211426,512.64,515.94,511.66
5/7/2024,514.67,243487,517.61,517.99,514.575
5/6/2024,516.83,285535,511.44,517.11,511.39
5/3/2024,509.46,438581,506.77,511.125,506.74
5/2/2024,496.06,317655,495.25,497.4,488.34
5/1/2024,489.37,405875,492.09,500.6,487.5275
4/30/2024,494.73,297132,504.1,505.997,494.67
4/29/2024,505.94,394094,506.06,507,502.8111
4/26/2024,503.94,364431,500,506.83,498.39
4/25/2024,495.44,479808,488.67,497.1,487
4/24/2024,495.24,514471,498.77,500.43,492.88
4/23/2024,494.45,519533,488.63,495.6099,487.85
4/22/2024,486.46,1057167,484.19,488.625,479.32
4/19/2024,479.9,1135994,490.7,492.51,478.25
4/18/2024,492.97,539744,497.85,499.665,492.2
4/17/2024,497.69,397989,507.89,508.705,497.27
4/16/2024,505.19,558243,505.16,508.4,503.22
4/15/2024,504.89,552084,518.82,519.05,503.792
4/12/2024,514.68,448599,518.59,520.5699,513.49
4/11/2024,524,490709,516.2,525.16,513.59
4/10/2024,514.08,409200,512.06,515.62,511.48
4/9/2024,518.8,263540,520.07,521.03,512.7
4/8/2024,517.63,212560,519.26,520.125,515.945
4/5/2024,518.38,736476,514.92,521,512.74
4/4/2024,512.15,408978,526.32,527.8,511.9019
4/3/2024,520.56,287273,516.68,523.545,516.34
4/2/2024,519.49,420991,518.74,520.52,514.565
4/1/2024,525.42,352231,525.01,528.6,522.725
3/28/2024,524.34,252739,524.25,526.1,522.84
3/27/2024,525.08,337498,527.25,527.25,520.51
3/26/2024,523.84,320809,528.64,529.11,522.89
3/25/2024,526.15,375235,523.5,528.728,523
3/22/2024,528.28,286410,527.18,530.15,525.5
3/21/2024,528.7,346469,533.96,533.96,528.04
3/20/2024,527.22,319372,521.26,527.315,518.76
3/19/2024,520.17,360169,514.75,521,511.23
3/18/2024,517.98,320897,520.68,523.8,517.14
3/15/2024,515.56,474089,515.77,518.5081,513.7246
3/14/2024,522.42,400351,526,527.5727,518.98
3/13/2024,524.39,410326,528.08,528.82,522.6
3/12/2024,530,382145,524.41,530,518.88
3/11/2024,519.26,372782,518.45,521.3,516.08
3/8/2024,521.49,596647,531.89,536.63,520.92
3/7/2024,530.16,332624,525.91,531.26,522.99
3/6/2024,521.4,392655,522.59,525.14,517.5
3/5/2024,515.68,550019,523.17,523.17,512.135
3/4/2024,528.37,416977,527.87,531.795,526.7966
3/1/2024,527.39,478655,519.24,528.09,519.24
2/29/2024,517.79,1035670,515.46,519.025,512.22
2/28/2024,512.88,261759,513.46,514.2,510.9655
2/27/2024,515.27,279790,516.19,516.19,511.7
2/26/2024,514.52,306601,515.58,517.02,513.55
2/23/2024,513.18,345914,518.17,519.45,511.505
2/22/2024,514.92,745414,511.51,516.18,510.31
2/21/2024,498.7,635446,497.72,498.7,493.53
2/20/2024,502.99,553349,505.9,507.16,497.74
2/16/2024,509,391777,515.27,516.215,508.36
2/15/2024,514.45,343085,516.09,516.15,511.1843
2/14/2024,514.85,590216,512.5,515.21,509.22
2/13/2024,508.06,879717,505.98,511.8182,504.17
2/12/2024,518.19,525848,521.54,523.63,517.39
2/9/2024,521.44,509694,516.67,522.09,515.8069
