Date,Adj Close,Volume,Open,High,Low
6/5/2024,56.08,1163117,56.16,56.16,55.8199
6/4/2024,56.02,1310044,56.08,56.13,55.834
6/3/2024,56.34,4035004,56.48,56.52,56.16
5/31/2024,56.27,1561880,55.99,56.27,55.845
5/30/2024,55.6,1213248,55.42,55.71,55.42
5/29/2024,55.05,893981,55.3,55.314,55.03
5/28/2024,55.96,1166924,56.17,56.1898,55.765
5/24/2024,55.73,2131897,55.57,55.835,55.49
5/23/2024,55.285,1317581,55.95,56.01,55.1831
5/22/2024,55.7,1140125,55.89,55.95,55.56
5/21/2024,56.32,972716,56.22,56.3679,56.2
5/20/2024,56.32,801270,56.47,56.54,56.315
5/17/2024,56.41,939820,56.16,56.425,56.09
5/16/2024,56.09,1090460,56.21,56.26,56.06
5/15/2024,56.4,1479222,56.27,56.415,56.015
5/14/2024,55.985,989455,55.78,55.99,55.75
5/13/2024,55.55,1147185,55.59,55.77,55.515
5/10/2024,55.555,772413,55.63,55.7,55.475
5/9/2024,55.37,710621,54.98,55.37,54.9347
5/8/2024,54.93,905249,54.73,54.95,54.6753
5/7/2024,55.07,917053,55.06,55.185,54.99
5/6/2024,54.98,978842,54.91,55.025,54.854
5/3/2024,54.565,1503962,54.66,54.73,54.26
5/2/2024,54.2,2425614,53.95,54.27,53.76
5/1/2024,53.4,1714942,53.49,53.9531,53.28
4/30/2024,53.47,1248702,53.93,54.08,53.1863
4/29/2024,54.17,1235597,53.99,54.245,53.98
4/26/2024,53.79,1218186,53.73,53.875,53.58
4/25/2024,53.48,1562046,53.09,53.576,52.95
4/24/2024,53.66,1113184,53.75,53.75,53.445
4/23/2024,53.84,1194444,53.51,53.92,53.4601
4/22/2024,53.42,1291601,53.1,53.575,53.03
4/19/2024,52.82,1966962,52.63,52.9,52.59
4/18/2024,52.54,1453582,52.61,52.855,52.425
4/17/2024,52.54,1796789,52.69,52.8226,52.3221
4/16/2024,52.34,1864886,52.58,52.59,52.19
4/15/2024,53.17,2043787,53.83,53.9,53.0601
4/12/2024,53.23,2180139,53.67,53.835,53.1801
4/11/2024,53.86,1468316,54.03,54.1,53.38
4/10/2024,53.885,1970846,53.945,54.11,53.67
4/9/2024,54.59,1669998,54.83,54.92,54.42
4/8/2024,54.56,1403780,54.57,54.66,54.42
4/5/2024,54.18,2067628,54.01,54.27,53.83
4/4/2024,54.08,1809590,54.81,54.845,54.035
4/3/2024,54.36,1965169,54.01,54.43,54.01
4/2/2024,53.93,2548637,53.83,53.9785,53.79
4/1/2024,54.05,2515847,54.19,54.3137,53.935
3/28/2024,54.4,2922464,54.23,54.44,54.18
3/27/2024,54.5,2569560,54.2,54.5,54.1311
3/26/2024,54.1,3042389,54.31,54.33,54.1
3/25/2024,54.04,1655962,53.92,54.1994,53.9
3/22/2024,54.03,1838482,54.13,54.22,53.995
3/21/2024,54.07,2213773,54.11,54.28,54.045
3/20/2024,54.1,3631465,53.42,54.155,53.42
3/19/2024,53.55,3397847,53.38,53.67,53.36
3/18/2024,53.3,4068128,53.43,53.53,53.26
3/15/2024,53.34,6165253,53.32,53.47,53.185
3/14/2024,53.07,36293100,53.46,53.46,52.9
3/13/2024,53.61,2279440,53.52,53.75,53.52
3/12/2024,53.54,2994857,53.35,53.56,53.185
3/11/2024,53.28,1618847,53.19,53.3,52.98
3/8/2024,53.6,1294660,53.79,53.905,53.5334
3/7/2024,53.55,3236721,53.42,53.6063,53.39
3/6/2024,53.07,1868556,53.11,53.2311,53.005
3/5/2024,52.49,1989315,52.5,52.745,52.385
