Date,Adj Close,Volume,Open,High,Low
6/5/2024,9.29,296905,$9.27 ,$9.34 ,$9.24 
6/4/2024,9.25,621848,$9.31 ,$9.41 ,$9.24 
6/3/2024,9.31,408574,$9.37 ,$9.38 ,$9.24 
5/31/2024,9.29,528227,$9.26 ,$9.37 ,$9.24 
5/30/2024,9.18,493865,$9.08 ,$9.25 ,$9.06 
5/29/2024,9.03,489803,$9.00 ,$9.06 ,$8.87 
5/28/2024,9.1,658006,$8.92 ,$9.13 ,$8.89 
5/24/2024,8.9,539839,$8.74 ,$8.92 ,$8.68 
5/23/2024,8.66,395475,$8.79 ,$8.79 ,$8.56 
5/22/2024,8.76,261101,$8.85 ,$8.86 ,$8.75 
5/21/2024,8.88,339371,$8.88 ,$8.99 ,$8.86 
5/20/2024,8.94,223664,$8.89 ,$9.03 ,$8.88 
5/17/2024,8.9,267801,$8.95 ,$8.95 ,$8.85 
5/16/2024,8.89,438180,$8.79 ,$8.89 ,$8.75 
5/15/2024,8.79,284536,$8.87 ,$8.95 ,$8.78 
5/14/2024,8.72,418420,$8.77 ,$8.87 ,$8.72 
5/13/2024,8.66,484495,$8.93 ,$8.96 ,$8.60 
5/10/2024,8.89,342679,$9.07 ,$9.11 ,$8.89 
5/9/2024,9.03,580665,$8.77 ,$9.09 ,$8.70 
5/8/2024,8.77,417288,$8.44 ,$8.79 ,$8.31 
5/7/2024,8.47,367843,$8.50 ,$8.59 ,$8.46 
5/6/2024,8.48,475349,$8.46 ,$8.51 ,$8.36 
5/3/2024,8.4,356462,$8.41 ,$8.49 ,$8.35 
5/2/2024,8.33,271295,$8.21 ,$8.34 ,$8.17 
5/1/2024,8.12,765716,$8.15 ,$8.30 ,$8.10 
4/30/2024,8.11,460399,$8.21 ,$8.24 ,$8.11 
4/29/2024,8.29,328302,$8.19 ,$8.35 ,$8.19 
4/26/2024,8.11,326587,$8.13 ,$8.21 ,$8.09 
4/25/2024,8.09,277319,$8.08 ,$8.17 ,$8.06 
4/24/2024,8.16,507542,$8.17 ,$8.20 ,$8.05 
4/23/2024,8.19,355503,$8.20 ,$8.29 ,$8.15 
4/22/2024,8.2,391954,$8.23 ,$8.28 ,$8.15 
4/19/2024,8.19,416692,$8.09 ,$8.24 ,$8.09 
4/18/2024,8.12,303440,$8.09 ,$8.15 ,$8.06 
4/17/2024,8.06,299757,$8.03 ,$8.15 ,$8.02 
4/16/2024,7.98,548252,$8.15 ,$8.17 ,$7.98 
4/15/2024,8.18,440901,$8.33 ,$8.36 ,$8.17 
4/12/2024,8.31,349004,$8.28 ,$8.33 ,$8.22 
4/11/2024,8.28,370546,$8.33 ,$8.37 ,$8.25 
4/10/2024,8.29,859016,$8.41 ,$8.46 ,$8.24 
4/9/2024,8.64,383178,$8.56 ,$8.68 ,$8.51 
4/8/2024,8.49,283431,$8.50 ,$8.59 ,$8.41 
4/5/2024,8.48,257569,$8.40 ,$8.56 ,$8.35 
4/4/2024,8.42,325282,$8.63 ,$8.68 ,$8.41 
4/3/2024,8.53,232778,$8.40 ,$8.57 ,$8.40 
