Date,Adj Close,Volume,Open,High,Low
6/5/2024,44.49,4581887,44.27,44.5651,44.12
6/4/2024,43.98,4146951,44.18,44.19,43.77
6/3/2024,44.39,5176239,44.11,44.51,44.05
5/31/2024,43.99,5267778,44.5,44.53,43.865
5/30/2024,44.24,3404477,44.27,44.44,44.22
5/29/2024,44.16,6020868,44.31,44.36,44.16
5/28/2024,44.57,5092869,44.64,44.665,44.38
5/24/2024,44.12,4117391,44.34,44.385,44.085
5/23/2024,44.07,8015278,44.69,44.795,44.07
5/22/2024,44.99,7061340,45.59,45.6101,44.9
5/21/2024,45.82,4511578,45.92,46.01,45.705
5/20/2024,45.89,5668496,45.73,46.085,45.57
5/17/2024,45.69,7306468,45.4,45.74,45.3
5/16/2024,44.97,4208704,44.98,45.07,44.83
5/15/2024,45.13,7731575,44.76,45.19,44.47
5/14/2024,44.57,5675590,44.4,44.615,44.335
5/13/2024,44.2,5281624,44.35,44.405,44.095
5/10/2024,44.68,6638566,44.78,44.87,44.56
5/9/2024,44.33,6346252,43.83,44.33,43.81
5/8/2024,43.65,6209569,43.64,43.8852,43.6201
5/7/2024,43.76,5484227,43.84,43.915,43.7
5/6/2024,43.95,5693314,43.97,44.11,43.82
5/3/2024,43.52,10297350,43.5,43.56,43.05
5/2/2024,43.55,6727532,43.31,43.66,43.21
5/1/2024,43.69,11788590,43.52,44.025,43.4
4/30/2024,43.3,9230496,43.59,43.74,43.28
4/29/2024,44.16,8695116,44.14,44.38,43.98
4/26/2024,44.26,6147489,44.29,44.3422,44.0351
4/25/2024,44.11,8203472,43.81,44.34,43.79
4/24/2024,43.86,5185357,43.88,44.2,43.8
4/23/2024,43.91,8383701,43.72,44.095,43.69
4/22/2024,44.04,8875607,44.19,44.32,43.955
4/19/2024,45.14,7878616,45.04,45.43,44.9613
4/18/2024,45,8014783,45.21,45.25,44.81
4/17/2024,44.86,12024650,45.17,45.3,44.65
4/16/2024,45.18,15690950,44.99,45.355,44.7
4/15/2024,45.13,15443530,44.52,45.15,43.95
4/12/2024,44.3,18862290,45.32,45.98,44.135
4/11/2024,44.89,8728413,44.301,44.91,44.11
4/10/2024,44.04,16560760,44.01,44.49,43.86
4/9/2024,44.47,12397680,44.5,44.71,44.22
4/8/2024,44.23,6397896,44.13,44.29,43.85
4/5/2024,43.95,7466258,43.42,44.07,43.355
4/4/2024,43.22,13660640,43.32,43.6001,43.11
4/3/2024,43.46,11442580,43.02,43.48,42.96
4/2/2024,43.09,12232660,42.7,43.11,42.5666
4/1/2024,42.46,20547690,42.62,42.64,42.145
3/28/2024,42.01,7533827,41.79,42.09,41.65
3/27/2024,41.49,3653780,41.34,41.5199,41.33
3/26/2024,41.2,4900758,41.41,41.42,41.075
3/25/2024,41.05,4264509,41.1,41.255,41.05
3/22/2024,40.93,5018587,41.13,41.23,40.805
3/21/2024,41.26,6654463,41.65,41.66,40.98
3/20/2024,41.3,8238466,40.7,41.395,40.675
3/19/2024,40.82,4232702,40.77,40.82,40.635
3/18/2024,40.85,3291974,40.78,40.88,40.76
3/15/2024,40.8,3702868,40.83,40.98,40.765
3/14/2024,40.92,4749499,40.93,40.95,40.72
3/13/2024,41.1,5811295,40.94,41.235,40.92
