Date,Adj Close,Volume,Open,High,Low
6/5/2024,112.48,1506329,111.89,112.495,111.45
6/4/2024,111.33,1039052,111.21,111.46,110.7201
6/3/2024,111.55,1738351,111.91,111.91,110.72
5/31/2024,111.44,1604712,110.89,111.44,109.88
5/30/2024,110.61,1088143,110.68,111.015,110.33
5/29/2024,110.68,821127,110.82,111.02,110.65
5/28/2024,111.9,1612359,112.22,112.385,111.45
5/24/2024,111.99,1187349,111.61,112.095,111.445
5/23/2024,111.17,716610,112.78,112.92,110.95
5/22/2024,111.97,1763498,112.3,112.37,111.62
5/21/2024,112.54,879951,112.31,112.565,112.21
5/20/2024,112.55,961562,112.5,112.83,112.41
5/17/2024,112.48,1779097,112.23,112.49,112.13
5/16/2024,112.17,1547912,112.51,112.64,112.12
5/15/2024,112.53,1322872,111.86,112.56,111.63
5/14/2024,111.24,716031,110.8,111.27,110.58
5/13/2024,110.56,708923,110.78,110.88,110.38
5/10/2024,110.58,1168937,110.82,110.9164,110.35
5/9/2024,110.4,1275045,109.78,110.41,109.65
5/8/2024,109.72,868463,109.37,109.77,109.3
5/7/2024,109.79,1336359,109.95,110.0676,109.66
5/6/2024,109.76,744976,109.3,109.77,109.24
5/3/2024,108.79,1376135,108.83,109.06,108.28
5/2/2024,107.64,1100134,107.25,107.845,106.48
5/1/2024,106.34,1521386,106.42,107.81,106.1
4/30/2024,106.54,3626074,107.77,107.99,106.5
4/29/2024,108.19,920332,108.1,108.3,107.722
4/26/2024,107.72,1169059,107.36,107.92,107.21
4/25/2024,106.76,1332760,105.8,106.91,105.475
4/24/2024,107.1,1737455,107.4,107.495,106.63
4/23/2024,107.13,1763952,106.29,107.295,106.19
4/22/2024,105.92,1847389,105.47,106.3941,105.12
4/19/2024,104.94,2264651,105.45,105.68,104.64
4/18/2024,105.43,1587720,105.86,106.295,105.23
4/17/2024,105.59,3519369,106.46,106.54,105.23
4/16/2024,105.99,2299379,106.23,106.54,105.69
4/15/2024,106.6,2497387,108.59,108.605,106.37
4/12/2024,107.61,2353045,108.48,108.76,107.3645
4/11/2024,109.38,2141070,109.1,109.585,108.26
4/10/2024,108.76,1517205,108.77,109.18,108.329
4/9/2024,110.02,1802902,110.29,110.39,109.22
4/8/2024,109.85,1005782,109.95,110.09,109.7301
4/5/2024,109.61,1544170,108.91,109.94,108.78
4/4/2024,108.72,3486084,110.64,110.7399,108.6696
4/3/2024,109.85,1207645,109.33,110.09,109.32
4/2/2024,109.57,1930079,109.54,109.59,109.205
4/1/2024,110.21,3399068,110.64,110.725,109.99
3/28/2024,110.5,1294810,110.48,110.695,110.43
3/27/2024,110.46,1884721,110.15,110.475,109.82
3/26/2024,109.64,1369685,110.12,110.155,109.61
3/25/2024,109.77,2037067,109.68,109.99,109.67
3/22/2024,109.99,1649379,110.25,110.265,109.905
3/21/2024,110.33,2301924,110.47,110.6751,110.295
3/20/2024,110,2196399,108.98,110.06,108.82
3/19/2024,108.92,1720343,108.37,108.955,108.15
3/18/2024,108.54,1242388,108.84,108.935,108.48
3/15/2024,108.14,1822481,108.3,108.52,107.89
3/14/2024,109.04,2614869,109.67,109.67,108.48
3/13/2024,109.53,1537692,109.67,109.78,109.27
3/12/2024,109.71,1568320,109.1,109.775,108.595
3/11/2024,108.66,1825242,108.58,108.78,108.17
3/8/2024,108.91,1541073,109.59,110.02,108.74
3/7/2024,109.43,1322060,109,109.5669,108.84
3/6/2024,108.32,2003411,108.46,108.755,108.0699
3/5/2024,107.46,1369663,108.01,108.185,107.075
3/4/2024,108.29,1721880,108.32,108.62,108.2299
3/1/2024,108.46,3584607,107.78,108.55,107.5212
2/29/2024,107.5,1678953,107.56,107.67,106.915
2/28/2024,107.06,1042750,107.01,107.2098,106.89
2/27/2024,107.47,1109720,107.37,107.495,107.16
2/26/2024,107.24,1056964,107.53,107.595,107.14
2/23/2024,107.52,1053750,107.68,107.785,107.2999
2/22/2024,107.44,1267027,106.92,107.59,106.79
2/21/2024,105.72,1121375,105.43,105.735,105.095
2/20/2024,105.69,1831902,105.98,106.07,105.3
2/16/2024,105.98,1279610,106.29,106.59,105.79
