Date,Adj Close,Volume,Open,High,Low
6/5/2024,145.79,5373456,145.3,145.945,144.49
6/4/2024,145.13,6964248,144.58,145.53,144.04
6/3/2024,144.71,10298310,143.6,145.135,143.35
5/31/2024,143.7,7945890,142.08,143.775,141.91
5/30/2024,141.63,7395616,140.99,142.14,140.675
5/29/2024,141.56,6838269,141.45,141.73,140.95
5/28/2024,142.67,8375071,144.1,144.1,142.07
5/24/2024,144.42,3949525,145.1,145.33,144.33
5/23/2024,144.91,5155939,146.27,146.2801,144.805
5/22/2024,146.51,6831234,145.86,146.945,145.77
5/21/2024,146.25,4048888,146.26,146.88,145.88
5/20/2024,146,3890023,146.16,146.3551,145.69
5/17/2024,146.31,7071646,146,146.34,145.44
5/16/2024,146.03,6741009,145.89,146.44,145.62
5/15/2024,146.2,8433670,144.7,146.36,144.64
5/14/2024,144.06,6198799,143.65,144.13,143.11
5/13/2024,143.45,5351464,143.88,144.01,143.19
5/10/2024,143.59,6325067,143.49,144.09,143.39
5/9/2024,143.3,6821786,142.25,143.38,142.23
5/8/2024,142.08,5461097,142.86,142.88,141.9
5/7/2024,142.57,7720646,141.72,142.695,141.7
5/6/2024,141.4,5605118,140.95,141.435,140.64
5/3/2024,140.83,8539319,141.09,141.23,140.1
5/2/2024,140.48,8425562,141.34,141.44,139.72
5/1/2024,140.58,10710290,139.71,141.84,139.55
4/30/2024,140.33,9677720,140.9,141.2,140.23
4/29/2024,140.43,6388634,140.13,140.83,139.73
4/26/2024,139.96,6013758,139.4,140.33,139.3
4/25/2024,139.92,9693507,140.77,141,139.2
4/24/2024,140.86,7378594,140.99,141.15,140.215
4/23/2024,141.3,8615525,140.82,141.56,140.18
4/22/2024,139.48,8531342,139.38,140.59,138.93
4/19/2024,138.95,9668387,139.15,139.34,138.445
4/18/2024,138.43,8105813,138.53,139.25,138.21
4/17/2024,138.44,8480148,139.49,139.62,138.215
4/16/2024,138.68,10170540,139.83,139.83,138.585
4/15/2024,138.63,10383740,140.12,140.63,138.41
4/12/2024,138.91,13799440,140.28,140.29,138.46
4/11/2024,141.01,8153938,142.02,142.05,140.595
4/10/2024,141.59,13052730,141.84,142.24,141.1
4/9/2024,143.27,10534540,143.07,143.355,142.28
4/8/2024,142.76,9128151,143.11,143.11,142.54
4/5/2024,143.22,9073220,141.725,143.685,141.61
4/4/2024,141.95,12685710,144.93,145.02,141.87
4/3/2024,144.03,8453547,144.44,145.09,143.685
4/2/2024,144.19,10776350,144.49,144.65,143.435
4/1/2024,146.47,7378313,147.64,147.73,145.935
3/28/2024,147.73,8090182,147.92,148.2317,147.675
3/27/2024,147.71,8797533,147.01,147.71,146.62
3/26/2024,145.77,6942438,145.53,145.94,145.14
3/25/2024,145.24,5252964,145.705,145.86,145.011
3/22/2024,145.44,5537224,145.85,146.22,145.265
3/21/2024,145.64,8865259,145.75,146.17,145.34
3/20/2024,145.45,8268171,145.43,145.5,144.635
3/19/2024,145.78,5240260,144.94,145.87,144.52
3/18/2024,144.82,6407158,145.43,145.57,144.72
3/15/2024,145.36,10570480,145.02,145.66,144.845
3/14/2024,145.94,9605786,146.55,146.66,145.125
3/13/2024,146.46,7874171,147.59,147.7,145.89
3/12/2024,147.03,7143931,146.45,147.39,145.96
3/11/2024,146.35,7724013,146.1,146.61,145.295
3/8/2024,146.43,7802515,146.56,147.25,146.17
3/7/2024,146.7,6438276,146.38,147.05,146.175
3/6/2024,146.02,8085410,145.3,146.56,145.3
3/5/2024,145.03,9743609,146.17,146.41,144.55
3/4/2024,146.12,10657870,145.92,146.68,145.77
3/1/2024,146.34,8741586,145.15,146.439,144.51
2/29/2024,144.82,9435636,146,146.24,144.72
2/28/2024,146.01,8038813,146.12,146.28,145.32
2/27/2024,146.74,7374135,146.38,147.186,146.035
2/26/2024,147.1,7248352,147.77,148.11,146.965
2/23/2024,147.86,9194718,147.66,148.2701,147.34
2/22/2024,147.16,9130025,145.64,147.4301,145.33
2/21/2024,145.45,7213773,144.66,145.49,144.24
2/20/2024,145.13,9120550,145.73,146.19,144.765
2/16/2024,145.62,8424290,145.34,146.605,144.82
2/15/2024,145.15,9294805,144.2,145.43,143.99
2/14/2024,144.1,9701053,143.35,144.15,143.075
2/13/2024,142.86,11170140,143.47,144.47,142.15
2/12/2024,144.2,6645456,143.82,144.2354,143.14
2/9/2024,144.01,7447802,144.06,144.29,143.545
2/8/2024,144.12,6672616,144.23,144.23,143.465
2/7/2024,144.37,7884600,144.34,145.03,144.07
2/6/2024,143.98,10159040,143.54,144.0854,142.825
2/5/2024,142.43,9631688,142.5,143.31,141.78
2/2/2024,141.99,10629350,142.15,142.645,141.27
2/1/2024,142.2,8503745,140.55,142.2,139.87
1/31/2024,140.38,10223100,141.64,141.75,140.35
1/30/2024,140.57,5940340,140.48,140.82,139.805
1/29/2024,140.25,6229620,139.4,140.26,139.31
1/26/2024,139.27,5759212,139.44,139.56,138.92
1/25/2024,138.48,10050190,138.2,138.51,137.21
1/24/2024,138.69,9104974,140.34,140.675,138.67
1/23/2024,139.97,6407411,139.89,140.06,138.965
1/22/2024,140.07,7831379,139.58,140.44,139.23
1/19/2024,139.46,8842008,139.46,139.82,138.69
1/18/2024,139.38,8929332,138.2,139.515,137.52
1/17/2024,139.4,8337301,139.45,140.09,139.01
1/16/2024,139.68,7426944,140.17,140.36,139.46
1/12/2024,140.52,8026508,140.48,141.16,140.05
1/11/2024,140.87,7182331,140.79,141.025,140
1/10/2024,140.97,9773320,140.41,141.14,139.88
1/9/2024,140.33,9201275,140.2,141.56,139.87
1/8/2024,140.35,7999385,139.16,140.38,138.59
1/5/2024,139.12,9437671,138.92,139.7,138.5301
1/4/2024,139.24,11649190,138.98,140,138.74
1/3/2024,138.55,9584991,139.24,139.53,138.38
1/2/2024,138.78,11785900,136.04,139.05,135.965
12/29/2023,136.38,5590052,136.24,136.62,135.825
12/28/2023,136.24,5800264,136,136.695,135.98
12/27/2023,135.89,5444087,135.17,135.98,135.14
12/26/2023,135.32,3688653,134.91,135.675,134.74
12/22/2023,135.02,5355138,134.68,135.44,134.475
12/21/2023,134.35,5606916,133.53,134.445,133.22
12/20/2023,132.73,7299039,134.6,134.68,132.72
12/19/2023,134.68,6358227,133.95,134.75,133.74
12/18/2023,133.78,5944319,134.06,134.2,133.43
12/15/2023,134.16,8296654,134.68,134.94,133.66
12/14/2023,135.31,10098710,136.43,136.51,134.8
12/13/2023,135.97,9074339,132.94,136.01,132.76
12/12/2023,133.51,6779064,133.13,133.7,132.5
12/11/2023,132.94,9016882,132.78,133.19,132.13
12/8/2023,132.07,6007674,131.94,132.38,131.275
12/7/2023,131.85,6396695,132.03,132.35,131.245
12/6/2023,132.01,6210408,132.2,132.45,131.75
12/5/2023,131.91,6581075,131.81,132.12,131.09
12/4/2023,132.08,6943917,131.48,132.33,131.435
12/1/2023,131.83,9370974,131.13,131.97,131.03
11/30/2023,131.31,7743059,129.78,131.385,129.33
11/29/2023,129.68,6979033,129.5,130.38,129.44
11/28/2023,129.64,6261342,130.08,130.37,129.55
11/27/2023,130.31,10530280,130.85,131.29,130.07
11/24/2023,131.13,3708830,130.69,131.155,130.68
11/22/2023,130.43,6737701,130.24,130.74,130.0698
11/21/2023,129.81,8373031,129.47,130.07,129.31
11/20/2023,129.03,6910104,127.75,129.31,127.66
11/17/2023,128.25,6766199,128.78,128.99,127.864
11/16/2023,128.51,7665861,128.34,128.78,127.845
11/15/2023,127.96,9262770,127.95,128.47,127.64
11/14/2023,127.86,11217020,127.73,128.705,127.41
11/13/2023,127,11373790,126.4,127.25,125.67
11/10/2023,126.27,10401720,126,126.45,124.6
11/9/2023,125.52,13905620,128.05,128.2,125.4
11/8/2023,128.17,10021070,128.89,128.89,127.39
11/7/2023,128.35,8241885,128.21,128.66,127.87
11/6/2023,128.26,8425100,127.95,128.46,127.43
11/3/2023,127.41,11635620,127.65,128.2,127.2
11/2/2023,126.78,11894140,125.28,126.89,124.95
11/1/2023,124.8,13802710,124.39,125.41,124.17
10/31/2023,124.54,13917380,124.27,124.7,123.55
10/30/2023,123.83,15224550,123.78,124.21,122.89
10/27/2023,123.14,13566220,124.91,125.07,122.59
10/26/2023,125.26,14699250,125.47,126.41,125.16
10/25/2023,126.51,11427000,127.07,127.46,125.57
10/24/2023,127.65,9375911,126.85,128.05,126.85
10/23/2023,127.26,12344260,127.97,128.4,127.14
10/20/2023,128.06,12296750,128.31,128.98,128.04
10/19/2023,128.57,15492640,129.68,129.815,127.77
10/18/2023,129.85,10085680,131.17,131.54,129.6225
10/17/2023,130.99,9149878,130.54,131.705,130.435
10/16/2023,131.17,10545000,130.71,131.92,130.6
10/13/2023,130.19,11383860,129.86,130.94,129.46
10/12/2023,129.38,10927660,130.6,130.85,129.28
10/11/2023,130.5,9591851,131.24,131.45,129.92
10/10/2023,131.08,8154935,130.42,131.6699,129.97
10/9/2023,130.46,8047600,129.65,130.58,129.125
10/6/2023,130.01,10692360,128.3,130.42,128.23
10/5/2023,128.66,9609778,128.25,128.89,127.52
10/4/2023,127.96,10064400,127.53,128.14,126.93
10/3/2023,127.42,11971090,127.93,128.2,126.88
10/2/2023,128.56,16035100,128.33,128.6,127.06
9/29/2023,128.74,12692670,130,130.12,128.545
9/28/2023,129.72,9129071,129.32,130.09,129.32
9/27/2023,129.1,9888551,129.99,130.12,128.15
9/26/2023,129.75,8200850,130.26,130.675,129.65
9/25/2023,130.86,6826343,130.02,130.895,129.66
9/22/2023,130.15,7790307,130.25,130.92,130
9/21/2023,130.42,7979573,131.32,131.535,130.36
9/20/2023,131.57,6350825,132.14,132.51,131.55
9/19/2023,131.56,6252402,131.23,131.84,130.68
9/18/2023,131.45,6559420,131.86,131.99,130.95
9/15/2023,132.19,9612005,132.92,133.5482,132.095
9/14/2023,133.24,6433355,133.57,133.65,132.84
9/13/2023,132.82,6430300,132.48,133.35,132.44
9/12/2023,132.8,6941890,132.57,133.145,131.851
9/11/2023,132.97,7178983,132,133.225,131.98
9/8/2023,132.06,8717030,131.78,132.46,131.75
9/7/2023,132.06,11055730,131.87,132.625,131.77
9/6/2023,131.47,12840060,132.03,132.16,130.83
9/5/2023,132.19,11042680,133.64,133.735,132.19
9/1/2023,133.57,10183850,134.24,134.24,133.22
8/31/2023,133.21,7540165,134.84,134.91,133.18
8/30/2023,134.82,7892678,135.25,135.66,134.7
8/29/2023,134.92,10736990,133.9,134.92,133.72
8/28/2023,133.72,6768441,133.88,134.31,133.225
8/25/2023,133.41,8509077,132.87,133.88,132.42
8/24/2023,132.44,10241730,133.34,134.39,132.44
8/23/2023,133.6,7276780,134,134.3,133.205
8/22/2023,133.2,6939610,133.47,133.79,133.13
8/21/2023,133.67,6872444,133.48,133.83,133.055
8/18/2023,133.53,9463221,133.22,133.875,133.1
8/17/2023,133.48,11163780,134.07,134.54,133.415
8/16/2023,134.55,9462496,135.36,135.8,134.52
8/15/2023,135.58,9118521,135.74,136.14,135.43
8/14/2023,136.08,8723326,135.69,136.51,135.57
8/11/2023,135.67,7674453,134.79,135.83,134.47
8/10/2023,134.83,9541846,135.25,136.53,134.69
8/9/2023,134.92,9833747,134.84,135.65,134.75
8/8/2023,134.96,12601220,134.78,135.13,134.045
8/7/2023,133.93,8165679,132.8,134.055,132.73
8/4/2023,132.4,12631300,132.91,133.73,132.075
8/3/2023,132.87,11863530,133.1,133.27,132.61
8/2/2023,133.54,13873280,133.48,134.39,133.18
8/1/2023,133.45,10555720,133.84,134.33,133.115
7/31/2023,134.15,9736656,134.95,135,133.645
7/28/2023,135.19,6897797,135.2,135.42,134.415
7/27/2023,134.79,8800817,135.99,136.48,134.76
7/26/2023,135.79,8205316,135.23,136.23,134.875
7/25/2023,135.88,7803014,135.03,136.425,134.85
7/24/2023,135.94,12034090,136.24,136.845,135.8201
7/21/2023,136.24,11308880,135.01,136.66,134.78
7/20/2023,134.88,12650210,133.57,135.43,133.47
7/19/2023,132.68,12483990,132.72,133.51,132.45
7/18/2023,132.07,8130367,131.15,132.565,130.91
7/17/2023,131.1,7905359,131.35,131.63,130.61
7/14/2023,131.7,13298790,130.73,132.115,130.59
7/13/2023,129.75,7526169,130.03,130.36,129.615
7/12/2023,129.7,11900410,130.38,130.5,129.49
7/11/2023,130.05,7279219,129.84,130.47,129.48
7/10/2023,130.02,7476636,129.01,130.18,129
7/7/2023,129,8749818,129.8,130.26,128.93
7/6/2023,130.52,8213056,130.69,131.01,130.19
7/5/2023,131.57,7942087,131.36,131.855,131.06
7/3/2023,131.64,5240339,132.35,132.35,131.078
6/30/2023,132.73,8260918,131.91,133.04,131.83
6/29/2023,131.38,7843374,130.23,131.46,130.01
6/28/2023,130.53,10897830,130.92,130.95,130.11
6/27/2023,130.95,8578428,131.25,131.39,130.04
6/26/2023,131.25,7093029,131.67,131.88,129.98
6/23/2023,132,8096493,132.26,132.54,131.64
6/22/2023,132.44,8036714,131.74,132.63,131.57
6/21/2023,131.54,9444757,131.2,131.99,130.59
6/20/2023,131.52,8585375,130.41,132.095,130.39
6/16/2023,132.21,10535120,132.56,133.25,132.07
6/15/2023,132.22,10598620,130.21,132.4,130.19
6/14/2023,130.2,12401620,130.88,130.99,129.7
6/13/2023,131.55,8362679,130.6,131.745,130.47
6/12/2023,130.89,7321523,130.35,130.92,129.835
6/9/2023,130.42,10446130,130.05,130.87,129.34
6/8/2023,130.02,6583161,129.21,130.2,128.78
6/7/2023,129.19,7519649,129.59,129.77,129
6/6/2023,129.7,9413482,131.32,131.36,129.13
6/5/2023,130.79,7880207,130.61,131.38,130.45
6/2/2023,130.32,10293200,129.08,130.55,128.78
6/1/2023,128.67,9751882,127.95,128.9179,126.96
5/31/2023,127.83,15099050,126.39,128.05,126.05
5/30/2023,126.74,12114530,126.89,127.87,126.42
5/26/2023,127.53,8794874,127.67,128.8701,127.29
5/25/2023,127.79,13737190,128.49,128.66,126.91
5/24/2023,129.11,7953091,129.75,129.78,128.81
5/23/2023,130,8723112,130.91,131.0951,129.71
5/22/2023,131.44,12856110,131.5,132.36,131.13
5/19/2023,131.31,9277048,131,132.19,130.94
5/18/2023,130.7,12196870,130.74,130.91,129.69
5/17/2023,131.02,15512870,131.08,131.19,129.555
5/16/2023,130.86,7106025,131.68,131.73,130.83
5/15/2023,131.96,5725670,132.21,132.3,131.39
5/12/2023,132.19,6626766,132.57,132.85,131.6
5/11/2023,132.37,8764931,132.5,132.58,131.54
5/10/2023,132.78,6556586,132.79,133.11,132
5/9/2023,132.41,6452735,132.79,133.42,132.37
5/8/2023,133.3,5305742,133.39,133.43,132.68
5/5/2023,133.59,7650379,133.27,134.05,132.83
5/4/2023,132.4,9625315,132.9,132.98,131.84
5/3/2023,133.46,8961472,134.26,134.9,133.27
5/2/2023,133.64,14365950,134,134.85,132.68
5/1/2023,134.22,6794007,133.72,134.755,133.46
